AnonID,year,nonspec_EM1a,nonspec_EM1b,nonspec_MNS1a,nonspec_MNS1b,nonspec_MSE1a,nonspec_MSE1b,spec_CAP,spec_ILA,spec_PPS
Sb359a35d,2015/6,53,64,,,,,,,
Sb391f75d,2017/8,52,47,,,,,,,
Sb3a5ea23,2016/7,88,87,,,,,,,
Sb3ef7dc2,2015/6,77,69,,,,,,,
Sb482c565,2017/8,83,92,,,,,,,
Sb574f0fa,2015/6,60,76,,,,,,,
Sb5a130fb,2017/8,50,,,,,,,,
Sb62dc6d8,2016/7,68,71,,,,,,,
Sb63229dd,2015/6,69,80,,,,,,,
Sb64a04d0,2017/8,92,98,,,,,,,
Sb64f84a5,2016/7,85,72,,,,,,,
Sb691179b,2015/6,71,72,,,,,,,
Sb6b6245a,2016/7,73,51,,,,,,,
Sb6b74f23,2016/7,60,58,,,,,,,
Sb77b36ff,2015/6,67,58,,,,,,,
Sb7cd4d2a,2016/7,50,55,,,,,,,
Sb888a6f8,2016/7,74,75,,,,,,,
Sb8925b58,2017/8,71,69,,,,,,,
Sb94a1cc9,2016/7,48,47,,,,,,,
Sb9b2bebb,2015/6,71,87,,,,,,,
Sb9d8a013,2016/7,63,69,,,,,,,
Sba6a15cc,2017/8,78,83,,,,,,,
Sba937ae1,2016/7,63,80,,,,,,,
Sba99ebb1,2017/8,93,83,,,,,,,
Sbb0a9c06,2017/8,6,64,,,,,,,
Sbb42879b,2015/6,69,55,,,,,,,
Sbb5d8c2d,2017/8,76,70,,,,,,,
Sbc026ad5,2015/6,68,63,,,,,,,
Sbc7dcaca,2016/7,58,69,,,,,,,
Sbc8cab00,2015/6,58,65,,,,,,,
Sbca00b1c,2016/7,58,60,,,,,,,
Sbd386231,2015/6,64,69,,,,,,,
Sbd7d8e6d,2017/8,17,0,,,,,,,
Sbdea3f85,2015/6,72,74,,,,,,,
Sbe01dbeb,2016/7,80,79,,,,,,,
Sbe2067b5,2016/7,61,48,,,,,,,
Sbe215efe,2015/6,70,73,,,,,,,
Sbe403738,2016/7,75,79,,,,,,,
Sbe40e84d,2016/7,70,49,,,,,,,
Sbe7343e7,2017/8,90,78,,,,,,,
Sbe7b2bc4,2016/7,59,51,,,,,,,
Sbe9538eb,2017/8,52,30,,,,,,,
Sbe95f739,2015/6,67,61,,,,,,,
Sbf481bbc,2016/7,50,35,,,,,,,
Sbf8c41d4,2017/8,89,74,,,,,,,
Sbf9e49b7,2016/7,66,80,,,,,,,
Sc0a23741,2016/7,76,60,,,,,,,
Sc132402c,2016/7,88,73,,,,,,,
Sc133c0d6,2015/6,49,46,,,,,,,
Sc1427c51,2015/6,74,79,,,,,,,
Sc1595c09,2016/7,84,84,,,,,,,
Sc170cae1,2016/7,86,87,,,,,,,
Sc18c9f64,2015/6,64,49,,,,,,,
Sc1ba2507,2017/8,64,,,,,,,,
Sc1c321e6,2015/6,48,51,,,,,,,
Sc1e7802d,2015/6,69,76,,,,,,,
Sc21ba1f0,2015/6,63,52,,,,,,,
Sc2376444,2016/7,75,71,,,,,,,
Sc2408475,2017/8,72,86,,,,,,,
Sc30cff91,2017/8,74,,,,,,,,
Sc316e682,2017/8,79,89,,,,,,,
Sc3ba32c5,2015/6,51,63,,,,,,,
Sc3d3f3c2,2017/8,70,72,,,,,,,
Sc42ca6e1,2016/7,94,89,,,,,,,
Sc4423ab1,2017/8,67,71,,,,,,,
Sc48720c1,2015/6,66,73,,,,,,,
Sc48b888f,2016/7,79,81,,,,,,,
Sc4d9d703,2016/7,73,86,,,,,,,
Sc54932be,2016/7,67,76,,,,,,,
Sc54c969a,2016/7,68,77,,,,,,,
Sc5825292,2017/8,86,69,,,,,,,
Sc5b24053,2016/7,51,40,,,,,,,
Sc5cbaf31,2016/7,84,85,,,,,,,
Sc63ce615,2017/8,74,68,,,,,,,
Sc66df4e6,2017/8,74,62,,,,,,,
Sc6c69945,2017/8,89,98,,,,,,,
Sc6eef934,2016/7,65,78,,,,,,,
Sc704e396,2017/8,61,65,,,,,,,
Sc7218f02,2017/8,67,73,,,,,,,
Sc740a451,2015/6,61,53,,,,,,,
Sc7503385,2017/8,4,0,,,,,,,
Sc760e1a6,2016/7,87,82,,,,,,,
Sc892da3a,2015/6,75,67,,,,,,,
Sc8b0ebf9,2016/7,72,60,,,,,,,
Sc8b9e793,2015/6,76,72,,,,,,,
Sc9275313,2016/7,73,92,,,,,,,
Sc92b2428,2015/6,75,62,,,,,,,
Sc9ab8036,2017/8,76,65,,,,,,,
Sc9dcb32e,2015/6,64,74,,,,,,,
Sca10a463,2016/7,73,84,,,,,,,
Scac3ebfd,2015/6,60,64,,,,,,,
Scb21ffb8,2016/7,48,34,,,,,,,
Scb2ebcaf,2015/6,57,62,,,,,,,
Scb5902f0,2015/6,76,72,,,,,,,
Scb65931e,2015/6,76,88,,,,,,,
Scb67655d,2015/6,52,57,,,,,,,
Scb86e520,2016/7,80,72,,,,,,,
Scb8a4d6e,2015/6,45,48,,,,,,,
Scbaaaebf,2016/7,84,63,,,,,,,
Scc1cf22b,2015/6,50,31,,,,,,,
Scc5c6526,2017/8,86,79,,,,,,,
Scd214c1b,2015/6,84,79,,,,,,,
Scd3c2c0e,2017/8,91,91,,,,,,,
Scd642230,2016/7,68,91,,,,,,,
Scd711ef0,2016/7,57,54,,,,,,,
Scdae5f06,2015/6,79,72,,,,,,,
Scdbefc24,2015/6,47,,,,,,,,
Scdd52fd3,2016/7,79,92,,,,,,,
Scde63dc8,2017/8,57,70,,,,,,,
Sce1fbb5d,2017/8,59,70,,,,,,,
Sce548727,2015/6,44,50,,,,,,,
Scec2a9a2,2015/6,75,79,,,,,,,
Scf47a09a,2015/6,52,,,,,,,,
Scf5cc257,2016/7,63,60,,,,,,,
Scfd9c26d,2015/6,48,47,,,,,,,
Sd186987b,2015/6,66,50,,,,,,,
Sd1f8de5a,2015/6,59,54,,,,,,,
Sd20b0a11,2017/8,65,52,,,,,,,
Sd2161357,2015/6,65,76,,,,,,,
Sd25059f7,2017/8,76,43,,,,,,,
Sd27fab03,2017/8,64,59,,,,,,,
Sd3a2d556,2017/8,78,71,,,,,,,
Sd3a9ef9d,2016/7,87,88,,,,,,,
Sd41f152f,2016/7,83,63,,,,,,,
Sd446d97e,2015/6,65,77,,,,,,,
Sd4b4b86e,2016/7,68,88,,,,,,,
Sd4f7dbad,2017/8,73,63,,,,,,,
Sd500715f,2016/7,90,79,,,,,,,
Sd53e2d34,2017/8,81,64,,,,,,,
Sd55844a7,2016/7,86,77,,,,,,,
Sd5d93271,2015/6,13,,,,,,,,
Sd6a43878,2017/8,59,73,,,,,,,
Sd6ec5ab6,2015/6,75,86,,,,,,,
Sd7143124,2015/6,57,48,,,,,,,
Sd71c7266,2017/8,83,67,,,,,,,
Sd7538d1d,2016/7,58,65,,,,,,,
Sd7773341,2016/7,71,80,,,,,,,
Sd7ea8e19,2017/8,65,85,,,,,,,
Sd800aec1,2016/7,90,84,,,,,,,
Sd8a8a57c,2016/7,73,81,,,,,,,
Sd8c2e9e6,2017/8,84,70,,,,,,,
Sd9206f73,2015/6,65,66,,,,,,,
Sd93ed0c9,2016/7,79,78,,,,,,,
Sd948632b,2017/8,73,67,,,,,,,
Sd990f2cd,2015/6,70,63,,,,,,,
Sd9a01418,2017/8,77,56,,,,,,,
Sd9b45306,2015/6,46,,,,,,,,
Sda2418c8,2015/6,58,48,,,,,,,
Sda6baa16,2017/8,92,96,,,,,,,
Sdafcc48b,2015/6,61,55,,,,,,,
Sdb4ecf80,2015/6,55,64,,,,,,,
Sdb6ea116,2015/6,88,77,,,,,,,
Sdb88b3ee,2017/8,54,57,,,,,,,
Sdbb95886,2015/6,66,58,,,,,,,
Sdbefae93,2016/7,75,87,,,,,,,
Sdc1f67d2,2017/8,74,75,,,,,,,
Sdc6f947d,2016/7,67,84,,,,,,,
Sdc783b56,2017/8,70,70,,,,,,,
Sdca274fe,2016/7,66,77,,,,,,,
Sdd48f3bc,2016/7,66,58,,,,,,,
Sdd6e9c9e,2016/7,85,77,,,,,,,
Sdecac942,2017/8,78,71,,,,,,,
Sdeda6a60,2016/7,64,65,,,,,,,
Sdf1e0dfc,2016/7,85,88,,,,,,,
Sdf82bd19,2017/8,64,66,,,,,,,
Sdfc46569,2016/7,49,64,,,,,,,
Se016a176,2017/8,79,75,,,,,,,
Se04e44cb,2015/6,48,69,,,,,,,
Se09257d5,2015/6,73,64,,,,,,,
Se1254e7b,2017/8,81,93,,,,,,,
Se16a4514,2015/6,60,64,,,,,,,
Se1766a39,2015/6,42,56,,,,,,,
Se17f1020,2017/8,48,50,,,,,,,
Se27ffaf4,2015/6,81,78,,,,,,,
Se2db4690,2016/7,71,60,,,,,,,
Se2fe2a04,2016/7,91,80,,,,,,,
Se3084da9,2017/8,60,54,,,,,,,
Se3157f8e,2016/7,73,65,,,,,,,
Se32cfcc5,2015/6,66,76,,,,,,,
Se3336a93,2016/7,70,84,,,,,,,
Se41f843a,2015/6,55,52,,,,,,,
Se4d3c012,2016/7,64,75,,,,,,,
Se51701a8,2016/7,51,62,,,,,,,
Se552a051,2017/8,52,27,,,,,,,
Se60f561e,2016/7,84,86,,,,,,,
Se6307e9b,2017/8,64,51,,,,,,,
Se6937b1b,2016/7,85,81,,,,,,,
Se70ad059,2017/8,74,60,,,,,,,
Se711e0a6,2016/7,64,67,,,,,,,
Se751ea4b,2015/6,59,70,,,,,,,
Se84227c9,2017/8,91,89,,,,,,,
Se875676f,2017/8,94,94,,,,,,,
Se8bea165,2016/7,76,79,,,,,,,
Se90350c8,2016/7,79,88,,,,,,,
Se96dbafb,2015/6,58,62,,,,,,,
Se9eb81dd,2017/8,59,,,,,,,,
Sea0d6666,2017/8,39,8,,,,,,,
Sea4706ff,2017/8,82,77,,,,,,,
Seb1f8c84,2017/8,74,78,,,,,,,
Seb410d25,2015/6,54,47,,,,,,,
Seb441f80,2017/8,62,53,,,,,,,
Seb5f7d4d,2015/6,69,72,,,,,,,
Seb8d3f6e,2015/6,53,59,,,,,,,
Sebcf0322,2017/8,88,92,,,,,,,
Sec48b4de,2016/7,76,88,,,,,,,
Sed6e9c37,2017/8,89,85,,,,,,,
Sedf4319d,2016/7,78,65,,,,,,,
See679e3a,2017/8,87,76,,,,,,,
See863526,2017/8,74,,,,,,,,
See88f9fb,2016/7,79,75,,,,,,,
Seecbd8ad,2016/7,83,92,,,,,,,
Sef052151,2016/7,84,74,,,,,,,
Sef5c1914,2016/7,89,90,,,,,,,
Sef7f68cf,2016/7,69,71,,,,,,,
Sef85550a,2017/8,88,71,,,,,,,
Sefb93fc0,2017/8,41,61,,,,,,,
Sf0686de3,2015/6,64,62,,,,,,,
Sf0c5366e,2016/7,53,66,,,,,,,
Sf0d30a74,2017/8,59,46,,,,,,,
Sf10128a1,2017/8,35,28,,,,,,,
Sf1d9b947,2016/7,29,22,,,,,,,
Sf1f8ee9a,2016/7,80,85,,,,,,,
Sf2b8dee6,2015/6,71,84,,,,,,,
Sf2be7528,2017/8,72,61,,,,,,,
Sf2cd865d,2016/7,77,63,,,,,,,
Sf2e60245,2016/7,82,86,,,,,,,
Sf31e8d64,2017/8,50,,,,,,,,
Sf35e2e9f,2017/8,64,51,,,,,,,
Sf36ac7f5,2015/6,66,87,,,,,,,
Sf3d32c1e,2016/7,72,61,,,,,,,
Sf42a7889,2017/8,47,77,,,,,,,
Sf47da770,2015/6,69,72,,,,,,,
Sf4c1a946,2016/7,78,84,,,,,,,
Sf52fd5af,2015/6,66,49,,,,,,,
Sf5530c39,2016/7,85,84,,,,,,,
Sf56575d4,2015/6,61,80,,,,,,,
Sf5a36f7e,2017/8,73,56,,,,,,,
Sf64b09bd,2015/6,57,44,,,,,,,
Sf69f451a,2017/8,64,66,,,,,,,
Sf6b0bbb2,2015/6,58,56,,,,,,,
Sf6e9e533,2017/8,0,7,,,,,,,
Sf6ed67cb,2016/7,64,63,,,,,,,
Sf7ba3c77,2016/7,38,38,,,,,,,
Sf7c840c8,2015/6,67,51,,,,,,,
Sf7d432f7,2017/8,29,30,,,,,,,
Sf873c462,2016/7,82,85,,,,,,,
Sf8ef7487,2017/8,71,78,,,,,,,
Sf8f409dd,2015/6,64,59,,,,,63,79,
Sf92d7707,2017/8,82,77,,,,,,,
Sf985632d,2017/8,65,20,,,,,,,
Sf9904f4a,2015/6,55,64,,,,,,,
Sf9e63c4a,2015/6,62,56,,,,,,,
Sfa432ae2,2017/8,66,59,,,,,,,
Sfa506299,2015/6,61,71,,,,,,,
Sfa6e0534,2015/6,33,16,,,,,,,
Sfaa15161,2015/6,73,61,,,,,,,
Sfb610db4,2016/7,67,74,,,,,,,
Sfbcbcb8c,2016/7,61,,,,,,,,
Sfbce6fa8,2016/7,68,59,,,,,,,
Sfc229973,2016/7,90,96,,,,,,,
Sfc91d452,2015/6,57,67,,,,,,,
Sfcc9f10d,2017/8,71,67,,,,,,,
Sfd0ae0a7,2017/8,83,57,,,,,,,
Sfd490e23,2015/6,66,60,,,,,,,
Sfe755e78,2015/6,69,63,,,,,,,
Sfea812e9,2016/7,79,84,,,,,,,
Sfec4676d,2016/7,63,70,,,,,,,
Sff6e1ed6,2016/7,64,64,,,,,,,
Sff72e1ae,2017/8,69,75,,,,,,,
Sffbfd168,2015/6,40,32,,,,,,,
Sffc5fe32,2015/6,74,78,,,,,,,
S05253a06,2016/7,,57,,,,,,,
S093564d9,2016/7,,45,,,,,,,
S1080214f,2016/7,,43,,,,,,,
S159fca3f,2016/7,,84,,,,,,83,
S1674f124,2016/7,,51,,,,,,,
S21cc49c9,2015/6,,21,,,,,,,
S244d3b6a,2016/7,,40,,,,,,,
S356badc1,2016/7,,64,,,,,,,
S3639f31a,2017/8,,52,,,,,,,
S36f18c7b,2017/8,,32,,,,,,,
S3944db9b,2015/6,,18,,,,,,,
S3b0006d9,2016/7,,85,,,,,,70,
S3b5f467b,2017/8,,58,,,,,,,
S3b6dc861,2015/6,,45,,,,,,,
S3dcb0513,2016/7,,41,,,,,,,
S4b8c8beb,2016/7,,78,,,,,,,
S4dd9e5e6,2015/6,,46,,,,,,,
S53e77f20,2017/8,,40,,,,,,,
S579b7b84,2016/7,,29,,,,,,,
S63ac5354,2015/6,,15,,,,,,,
S6aebfd66,2017/8,,13,,,,,,,
S6f400950,2016/7,,54,,,,,,,
S70993350,2017/8,,46,,,,,,,
S7ec1b195,2016/7,,41,,,,,,,
S929e4d6a,2017/8,,40,,,,,,,
S96a4036e,2016/7,,60,,,,,,,
S97f6ec51,2016/7,,48,,,,,,,
S9f7550f0,2016/7,,40,,,,,,,
Sa0f61890,2016/7,,56,,,,,,,
Sa1488f23,2016/7,,55,,,,,,,
Saddb41ce,2016/7,,53,,,,,,,
Saea5548a,2017/8,,12,,,,,,,
Sb5a130fb,2016/7,,57,,,,,,,
Scdbefc24,2016/7,,49,,,,,,,
Scf47a09a,2017/8,,57,,,,,,,
Sd0be780d,2015/6,,51,,,,,,,
Sd9b45306,2016/7,,67,,,,,,,
Sf230368a,2016/7,,82,91,,,,,,
Sfce78c33,2016/7,,11,,,,,,,
S02d52c32,2015/6,,,56,,,,,,
S033365fa,2017/8,,,72,65,,,,,
S034e8527,2017/8,,,60,50,,,,,
S05a0e549,2016/7,,,74,64,,,,,
S0a8c004e,2015/6,,,71,63,,,,,
S0ac77dcd,2017/8,,,55,42,,,,,
S0be40514,2015/6,,,70,,,,,,
S0bfd658e,2015/6,,,73,61,,,,,
S0d39b783,2015/6,,,65,57,,,,,
S0de0fb8d,2015/6,,,64,53,,,,,
S0e5701e5,2016/7,,,67,,,,,,
S0f3295ba,2016/7,,,92,84,,,,,
S11571e0f,2016/7,,,73,63,,,,,
S115ee671,2016/7,,,87,63,,,,,
S13992976,2015/6,,,61,52,,,,,
S15288791,2017/8,,,89,54,,,,,
S15e9b93f,2016/7,,,79,84,,,,,
S17d2dbf5,2017/8,,,17,,,,,,
S180a42ad,2017/8,,,61,38,,,,,
S1829b101,2016/7,,,86,66,,,,,
S1a1d5f0e,2015/6,,,64,67,,,,,
S1a49399c,2017/8,,,72,64,,,,,
S1b1b9b06,2015/6,,,72,67,,,,,
S1b4f84c7,2017/8,,,76,60,,,,,
S1b69babb,2015/6,,,64,47,,,,,
S1c91e0fd,2015/6,,,58,52,,,,,
S1c9b7e9d,2015/6,,,63,73,,,,,
S1cb4a838,2015/6,,,40,,,,,,
S1cc97323,2015/6,,,74,66,,,,,
S1d3498c4,2015/6,,,65,72,,,,,
S1ebab3c5,2016/7,,,73,68,,,,,
S1ed22d4d,2017/8,,,69,59,,,,,
S1f240745,2015/6,,,88,79,,,,,
S1f312b22,2017/8,,,75,68,,,,,
S1fa30a18,2016/7,,,86,94,,,,,
S20436810,2016/7,,,67,65,,,,,
S2243bf30,2015/6,,,41,20,,,,,
S226ff4af,2015/6,,,53,50,,,,,
S238e86f4,2015/6,,,64,48,,,,,
S23e78711,2017/8,,,75,50,,,,,
S24128cb0,2016/7,,,73,53,,,,,
S24bdc5cd,2015/6,,,78,61,,,,,
S26a42f75,2017/8,,,64,51,,,,,
S275ecbf7,2016/7,,,91,89,,,,,
S27cbfa3f,2017/8,,,59,54,,,,,
S288dc172,2016/7,,,58,44,,,,,
S2a70dfd6,2015/6,,,80,73,,,,,
S2aa9d15d,2015/6,,,63,52,,,,,
S2aef9bfd,2017/8,,,69,59,,,,,
S2b378e5e,2015/6,,,72,50,,,,,
S2d4ba9ce,2016/7,,,7,,,,,,
S2ea0df70,2015/6,,,53,50,,,,,
S3174f602,2017/8,,,86,65,,,,,
S31b2c7c9,2016/7,,,75,76,,,,,
S31f56b57,2017/8,,,69,40,,,,,
S329677f2,2015/6,,,61,51,,,,,
S347f0b32,2016/7,,,82,48,,,,,
S34c17d6c,2017/8,,,66,61,,,,,
S353ad9f6,2015/6,,,53,55,,,,,
S36dbee5d,2015/6,,,74,77,,,,,
S383721ec,2017/8,,,96,94,,,,,
S399e986f,2017/8,,,78,65,,,,,
S3a12f3ac,2016/7,,,92,76,,,,,
S3ba2f5c0,2016/7,,,71,72,,,,,
S3c3521fc,2016/7,,,52,63,,,,,
S3cb82011,2016/7,,,68,82,,,,,
S3d50e791,2015/6,,,71,65,,,,,
S3e92a1e1,2015/6,,,79,60,,,,,
S3f5d4a37,2015/6,,,72,73,,,,,
S41f6b8dd,2017/8,,,85,74,,,,,
S42914f74,2015/6,,,79,73,,,,,
S42af518a,2015/6,,,60,42,,,,,
S43288590,2016/7,,,64,65,,,,,
S43adaecb,2017/8,,,71,50,,,,,
S43c39b8d,2015/6,,,42,47,,,,,
S44157c17,2015/6,,,51,46,,,,,
S461a8ee4,2016/7,,,96,92,,,,,
S4730a755,2016/7,,,53,50,,,,,
S47587b48,2016/7,,,74,63,,,,,
S4a3d33f4,2016/7,,,43,6,,,,,
S4d10879d,2017/8,,,82,58,,,,,
S4d99461d,2015/6,,,63,59,,,,,
S4db3fb4e,2016/7,,,47,12,,,,,
S4f262950,2017/8,,,78,70,,,,,
S504d53cc,2017/8,,,98,97,,,,,
S5188267a,2017/8,,,86,63,,,,,
S519494a7,2015/6,,,70,68,,,,,
S51c55921,2016/7,,,88,84,,,,,
S51dbf90c,2017/8,,,32,32,,,,,
S51efb640,2016/7,,,71,51,,,,,
S531f7444,2015/6,,,56,55,,,,,
S5366ed45,2017/8,,,62,55,,,,,
S53b559ff,2016/7,,,87,81,,,,,
S562aaf20,2015/6,,,59,46,,,,,
S56d6abfb,2016/7,,,63,51,,,,,
S577b0d60,2017/8,,,68,53,,,,,
S57946aa1,2016/7,,,71,56,,,,,
S581b17c6,2016/7,,,78,65,,,,,
S59f1f9a8,2016/7,,,63,60,,,,,
S5ac112ae,2016/7,,,73,47,,,,,
S5b68e5e4,2015/6,,,41,,,,,,
S5cff3ee8,2017/8,,,75,55,,,,,
S5e56a26d,2017/8,,,85,73,,,,,
S5ff8db59,2015/6,,,71,70,,,,,
S61754a1d,2016/7,,,84,74,,,,,
S618dfba4,2016/7,,,53,,,,,,
S61f01815,2016/7,,,87,82,,,,,
S621fa1f6,2016/7,,,48,52,,,,,
S62eb50ee,2016/7,,,54,59,,,,,
S65130598,2015/6,,,64,48,,,,,
S66ba0dff,2016/7,,,79,74,,,,,
S689a232c,2016/7,,,91,75,,,,,
S69056d69,2016/7,,,65,77,,,,,
S6998b9c5,2016/7,,,49,48,,,,,
S6a823c61,2015/6,,,54,47,,,,,
S6adafd8d,2016/7,,,50,,,,,,
S6b6ae476,2016/7,,,63,46,,,,,
S6f914ba9,2015/6,,,60,55,,,,,
S70e6934f,2015/6,,,71,78,,,,,
S71a0dfdd,2017/8,,,86,79,,,,,
S7262efce,2015/6,,,64,69,,,,,
S72f05c24,2017/8,,,64,57,,,,,
S74df5fe6,2017/8,,,72,74,,,,,
S75869ab5,2017/8,,,74,72,,,,,
S75f8f8c5,2016/7,,,81,80,,,,,
S75fcf84a,2017/8,,,11,,,,,,
S768aecd9,2015/6,,,69,64,,,,,
S777658b1,2017/8,,,80,52,,,,,
S78f68d42,2017/8,,,56,43,,,,,
S7a9d8995,2016/7,,,52,74,,,,,
S7b135ed5,2015/6,,,56,42,,,,,
S7bb79be2,2017/8,,,97,83,,,,,
S7c4adc31,2016/7,,,79,78,,,,,
S7d6dbbf0,2016/7,,,68,65,,,,,
S80fca9a7,2016/7,,,72,,,,,,
S84d3cbc4,2016/7,,,77,72,,,,,
S84e0193d,2017/8,,,78,71,,,,,48
S857f2d47,2017/8,,,77,60,,,,,
S8641d65d,2017/8,,,85,65,,,,,
S86d17747,2015/6,,,60,50,,,,,
S875fa007,2017/8,,,72,,,,,,
S877a0c71,2017/8,,,88,80,,,,,
S87b62e9d,2015/6,,,51,58,,,,,
S883aa734,2015/6,,,89,72,,,,,
S88d5eb94,2017/8,,,89,90,,,,,70
S89556de9,2015/6,,,71,57,,,,,
S8c4b4bc6,2015/6,,,46,40,,,,,
S8eb7e16e,2016/7,,,85,80,,,,,
S8f2f48a1,2015/6,,,93,65,,,,,
S929a5d42,2016/7,,,85,84,,,,,
S93d540b8,2016/7,,,80,,,,,,
S95ef197e,2017/8,,,81,63,,,,,
S960eee37,2017/8,,,57,,,,,,
S963b0ae0,2015/6,,,89,87,,,,,
S983ed91b,2016/7,,,88,89,,,,,
S990addc0,2017/8,,,42,53,,,,,
S99b453d6,2017/8,,,86,65,,,,,
S9a100566,2016/7,,,81,50,,,,,
S9a5076d8,2015/6,,,70,71,,,,,
S9c618835,2017/8,,,74,68,,,,,
S9d66dc60,2016/7,,,84,77,,,,,
S9dbe34d5,2015/6,,,64,69,,,,,
S9df72dc5,2015/6,,,64,63,,,,,
S9dffae65,2017/8,,,79,65,,,,,
S9f12e7f7,2016/7,,,82,61,,,,,
Sa10f6e18,2017/8,,,84,64,,,,,
Sa1ec3347,2016/7,,,52,43,,,,,
Sa2965cb3,2016/7,,,74,58,,,,,
Sa40c9193,2016/7,,,69,40,,,,,
Sa41adbea,2017/8,,,73,53,,,,,
Sa678b593,2016/7,,,87,88,,,,,
Sa67bd38d,2015/6,,,63,55,,,,,
Sa7aef10d,2017/8,,,87,64,,,,,
Sab6095fa,2016/7,,,98,95,,,,,
Sab9b5196,2015/6,,,68,65,,,,,
Sab9f0c1b,2017/8,,,88,81,,,,,
Sabf36938,2015/6,,,54,51,,,,,
Sad361f9e,2017/8,,,88,65,,,,,68
Sad5f4c49,2016/7,,,72,72,,,,,
Sad856649,2017/8,,,79,73,,,,,
Sb0436b5c,2016/7,,,70,65,,,,,
Sb0dfffe8,2016/7,,,92,76,,,,,
Sb27bc69e,2015/6,,,83,73,,,,,
Sb29d1bb4,2015/6,,,69,48,,,,,
Sb310135b,2017/8,,,67,52,,,,,
Sb31b8086,2017/8,,,89,63,,,,,
Sb3b4fd0d,2017/8,,,95,64,,,,,
Sb4a3ebeb,2015/6,,,74,65,,,,,
Sb87dd71a,2015/6,,,69,61,,,,,
Sb9003ec5,2017/8,,,95,96,,,,,
Sb9de59ef,2017/8,,,77,66,,,,,
Sb9ea3dc2,2016/7,,,55,46,,,,,
Sba97285c,2015/6,,,47,,,,,,
Sbb407ee8,2016/7,,,72,56,,,,,
Sbc47991e,2017/8,,,93,93,,,,,
Sbccbd7db,2016/7,,,85,71,,,,,
Sbf25e1f2,2017/8,,,72,32,,,,,
Sc03b5ad3,2017/8,,,70,58,,,,,
Sc05389fe,2015/6,,,60,50,,,,,
Sc236bad0,2015/6,,,59,65,,,,,
Sc3e3e103,2016/7,,,69,73,,,,,
Sc42cf4d3,2015/6,,,67,71,,,,,
Sc43aa13d,2017/8,,,66,59,,,,,
Sc5163cd5,2015/6,,,74,73,,,,,
Sc5425577,2015/6,,,68,78,,,,,
Sc5dd5cf9,2016/7,,,70,73,,,,,
Sc68be61e,2015/6,,,66,50,,,,,
Sc6a6c6f8,2015/6,,,64,66,,,,,
Sc8001083,2017/8,,,40,39,,,,,
Sc86c0cf3,2015/6,,,59,56,,,,,
Sc8c69b95,2016/7,,,62,36,,,,,
Sc9503239,2016/7,,,73,82,,,,,
Sc9f7a5e6,2016/7,,,77,53,,,,,
Scb2d1a53,2015/6,,,19,,,,,,
Scbf77df6,2017/8,,,70,64,,,,,
Sce3962fe,2016/7,,,62,30,,,,,
Scf1fbe03,2017/8,,,88,92,,,,,
Sd1071ab9,2017/8,,,37,,,,,,
Sd243257a,2016/7,,,91,,,,75,,
Sd2c0415c,2015/6,,,96,95,,,,,
Sd4efb9ba,2015/6,,,75,64,,,,,
Sd511d0f0,2016/7,,,84,66,,,,,
Sd5d1f344,2016/7,,,83,78,,,,,
Sd630e0be,2017/8,,,76,74,,,,,
Sd6a9b6ea,2017/8,,,66,51,,,,,
Sd6b246f7,2016/7,,,78,70,,,,,
Sda652b6e,2015/6,,,57,57,,,,,
Sdb3d723c,2017/8,,,55,49,,,,,
Sdb865b62,2017/8,,,73,63,,,,,
Sdbe43d4e,2016/7,,,78,87,,,,,
Sdc0b86ea,2015/6,,,64,63,,,,,
Sdcd77e67,2015/6,,,34,21,,,,,
Sddc64b3a,2016/7,,,94,80,,,,,
Sde157ca0,2017/8,,,79,64,,,,,
Sdf339b9b,2015/6,,,54,52,,,,,52
Sdf4d1268,2016/7,,,92,92,,,,,
Se2f13b21,2015/6,,,81,72,,,,,
Se31d7e59,2015/6,,,51,40,,,,,
Se3a6842e,2017/8,,,92,84,,,,,
Se450ab04,2017/8,,,82,65,,,,,
Se4e935e0,2017/8,,,63,65,,,,,
Se6c7e6ad,2015/6,,,67,65,,,,,
Se92c30ec,2015/6,,,72,,,,,,
Se968a85e,2017/8,,,87,84,,,,,
Sea145bfe,2016/7,,,86,67,,,,,
Sea8cf403,2015/6,,,67,63,,,,,
Sed5529dd,2015/6,,,50,62,,,,,
Sed5f9cdc,2016/7,,,84,86,,,,,
Sed65f4de,2015/6,,,63,,,,,,
Sef8047af,2015/6,,,70,77,,,,,
Sf0588b36,2017/8,,,58,56,,,,,
Sf06b4658,2016/7,,,55,,,,,,
Sf0c45d17,2016/7,,,82,84,,,,,
Sf2956cd0,2016/7,,,80,68,,,,,
Sf304c975,2016/7,,,60,64,,,,,
Sf5ff235a,2016/7,,,56,50,,,,,
Sf61c1996,2015/6,,,48,48,,,,,
Sf8d5b583,2016/7,,,20,,,,,,
Sf92340fe,2017/8,,,89,75,,,,,
Sf9892fd0,2015/6,,,69,60,,,,,
Sfb6352e1,2015/6,,,63,72,,,,,
Sfc13597a,2017/8,,,71,56,,,,,
Sfca82e4a,2016/7,,,40,,,,,,
Sfce0f969,2016/7,,,82,73,,,,,
Sfe0fd704,2015/6,,,74,85,,,,,
Sfe2a90f1,2016/7,,,55,35,,,,,
S02d52c32,2016/7,,,,78,,,,,
S0e5701e5,2017/8,,,,49,,,,,
