"AnonID","X","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Total"
"S105d5928","",5,5,5,1,0,0,5,0,5,5,2.5,5,5,2,5,0,5,5,0,5,65.5
"Se0313ba1","",5,5,0,5,5,0,2.5,5,5,5,5,5,5,2,5,5,5,5,0,5,79.5
"S51c719e3","",5,5,5,4,5,2,5,5,5,0,2.5,5,5,5,5,5,5,5,5,5,88.5
"S93f92046","",5,5,5,5,5,0,5,0,5,2.5,1.25,1,5,5,0,0,0,5,0,0,54.75
"Sb7a40e5a","",5,5,5,5,5,2,0,5,5,2.5,5,5,5,2,5,5,5,5,0,0,76.5
"Sac1ae4b2","",5,0,5,2,5,2,5,5,5,2.5,5,5,5,2,5,5,5,0,5,5,78.5
"S985894d9","",5,5,5,2,5,2,5,5,5,0,5,5,2,2,5,5,5,5,0,5,78
"S632a2ae7","",2.5,5,5,3.5,5,0,5,0,5,5,5,5,5,2,3.75,5,5,5,5,0,76.75
"S6de14b77","",5,5,5,5,5,0,5,5,5,5,5,5,2,1,3.75,5,5,0,0,0,71.75
"S458e0a77","",5,5,0,3,0,0,0,5,5,5,5,5,5,2,3.75,5,5,0,0,0,58.75
"Sa535b2cc","",2.5,0,0,1,0,2,0,5,5,5,5,5,2,0,0,5,5,5,0,0,47.5
"Sc6a4863a","",5,5,5,5,5,2,5,0,5,5,5,5,5,5,5,5,5,5,5,5,92
"S286a0e72","",5,5,5,5,5,0,5,0,5,5,5,5,5,5,3.75,5,5,5,5,5,88.75
"Sbbf93f79","",5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,0,90
"S5ee38460","",5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,97
"S4730a755","",,,,,,,,,,,,,,,,,,,,,
"Sac9df678","",2.5,5,0,4.5,5,0,0,5,5,0,0,5,0,0,5,5,5,0,0,0,47
"S9010c94f","",5,5,5,5,5,0,5,5,5,5,5,5,5,2,0,5,5,5,5,5,87
"S7d6dbbf0","",5,2.5,0,3,5,2,0,5,5,0,5,0,0,2,0,5,5,0,0,0,44.5
"S00b64ff6","",2.5,5,0,5,5,2,5,5,5,5,2.5,5,5,2,5,5,5,5,5,5,84
"S15637755","",5,5,5,4,0,5,5,5,5,5,5,5,2,2,0,5,5,5,5,5,83
"S05024462","",5,5,5,5,0,0,5,5,5,0,2.5,1,5,2,5,5,5,0,5,0,65.5
"S85cad43f","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"S35c1e6be","",5,5,5,5,5,0,0,0,5,0,5,5,5,5,0,5,5,5,0,5,70
"S03aa17ff","",5,5,0,3,5,2,5,5,5,5,2.5,5,5,2,5,5,5,5,5,0,79.5
"Se80ef309","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S114ad70c","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sffb6dd02","",5,5,5,3.5,5,2,5,0,5,5,5,5,5,4,0,5,5,0,5,5,79.5
"S626ccf63","",5,0,5,4,0,0,2.5,5,5,0,5,5,5,2,5,5,5,0,0,5,63.5
"Scd536296","",2.5,5,0,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,89.5
"Sd0c8c599","",5,5,0,3,5,0,5,0,5,5,5,1,2,2,5,5,5,5,0,0,63
"Scdd52fd3","",5,5,5,2,5,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,91
"S1df23bdf","",,,,,,,,,,,,,,,,,,,,,
"S277034be","",5,5,0,5,5,0,2.5,5,5,5,5,5,2,2,0,0,0,0,0,0,51.5
"Sf6e9e533","",,,,,,,,,,,,,,,,,,,,,
"Sb808f6f2","",5,0,0,2,5,2,5,5,5,5,2.5,0,2,2,0,5,5,0,0,0,50.5
"S48f00118","",,,,,,,,,,,,,,,,,,,,,
"Sadd9b8bd","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"S0b48ea95","",5,5,5,2,5,2,0,5,5,0,2.5,5,5,2,0,5,5,5,5,0,68.5
"Sa9d00f21","",5,5,5,5,5,2,5,0,5,2.5,5,0,5,2,0,5,5,5,5,5,76.5
"S6e2d5c3a","",5,5,5,5,5,5,5,5,5,2.5,5,1,2,5,5,5,5,5,5,5,90.5
"S691fab0f","",5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,0,5,5,5,90
"Sfd306c06","",5,5,0,4,5,0,5,5,5,2.5,5,5,5,5,5,5,5,5,5,0,81.5
"S4fe3d8a3","",2.5,5,5,0,5,0,0,5,0,5,2.5,0,5,0,5,5,5,0,0,0,50
"S99ba9f0b","",5,5,5,5,5,2,5,0,5,5,5,5,5,5,5,5,5,5,5,0,87
"S6dbfc5e6","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"Sa968430d","",0,5,0,2.5,5,0,0,0,0,0,2.5,5,5,0,5,0,5,5,0,0,40
"S689a232c","",2.5,5,5,3.5,5,2,0,0,5,0,5,5,5,2,5,5,5,5,0,0,65
"S851a3d5d","",5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5
"S421a78b7","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S4968a8d7","",,,,,,,,,,,,,,,,,,,,,
"S2838c32e","",5,5,0,3.5,5,2,5,5,5,2.5,5,5,5,2,5,5,5,5,0,5,80
"Sb2ec2a74","",5,5,5,5,5,0,5,5,5,5,2.5,5,5,5,0,5,5,5,5,0,82.5
"Sc5cbaf31","",5,5,5,5,5,2,5,5,5,2.5,5,5,5,5,5,5,5,5,5,5,94.5
"S4523650c","",5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99
"Scc99c6e7","",5,5,5,5,5,5,5,5,5,5,2.5,5,5,5,2.5,5,5,5,5,5,95
"Scf5cc257","",,,,,,,,,,,,,,,,,,,,,
"S61a1ca04","",5,5,5,5,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,99
"S6d1d8f4e","",5,5,5,5,5,2,5,0,5,5,5,0,5,3,5,5,5,5,0,5,80
"Se45da7e1","",,,,,,,,,,,,,,,,,,,,,
"S1cef663e","",5,5,5,5,5,5,2.5,5,5,5,2.5,5,5,2,5,5,5,5,5,5,92
"Scf7d7e09","",5,5,5,5,5,5,2.5,5,5,5,3.75,5,5,0,0,5,5,5,0,5,81.25
"Sc195b25b","",5,5,5,5,5,5,5,0,5,5,5,5,2,5,5,5,5,0,5,5,87
"S79637936","",2.5,5,5,5,5,0,5,0,5,5,5,5,5,1,5,5,5,5,0,5,78.5
"Sfce0f969","",5,5,5,4,0,2,5,5,5,2.5,5,0,5,2,3.75,5,5,5,5,5,79.25
"Sdb62c9ba","",5,5,5,5,5,2,0,5,5,2.5,5,5,5,5,5,5,5,5,0,5,84.5
"Sd800aec1","",5,5,5,3,0,0,5,5,5,5,5,5,0,0,3.75,5,5,5,0,0,66.75
"S6377c268","",5,5,0,4.5,0,5,0,5,5,2.5,2.5,5,0,0,0,0,0,0,0,0,39.5
"S3684e036","",5,5,0,5,5,0,5,5,5,0,5,1,5,5,0,5,5,0,5,0,66
"Scbfdbe94","",5,2.5,5,5,5,2,0,5,5,5,5,5,5,4,5,5,5,5,5,5,88.5
"S8c7d322b","",5,5,5,4.5,5,5,0,5,5,5,5,5,5,5,5,5,0,5,0,0,79.5
"Sec1a7982","",2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5
"Sf5ff235a","",,,,,,,,,,,,,,,,,,,,,
"S01a8e6d9","",,,,,,,,,,,,,,,,,,,,,
"Sbde4231d","",5,5,5,5,5,2,5,5,5,5,5,5,5,5,2.5,5,5,0,5,0,84.5
"Sab6095fa","",5,5,5,5,5,2,5,5,5,2.5,5,5,5,5,5,5,5,5,5,5,94.5
"Sb87e85f2","",5,5,5,5,5,0,0,5,5,5,0,5,2,1,5,5,5,5,0,0,68
"Sb6b74f23","",5,5,0,2.5,5,2,5,0,0,0,5,4,2,2,5,5,5,5,0,0,57.5
"S19a01f47","",5,5,0,3.5,5,5,5,5,5,2.5,2.5,5,5,2,5,5,5,0,0,0,70.5
"S395c66f9","",5,5,0,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5,5,5,85
"S51b2aadb","",5,5,5,5,5,5,5,5,5,2.5,5,5,5,0,5,5,5,5,5,0,87.5
"Sc8c69b95","",5,5,5,5,5,2,5,5,5,5,5,5,0,5,5,5,5,5,0,0,82
"S7f7cd2e8","",0,5,5,3.5,5,2,5,5,5,5,5,1,3,2,5,5,5,5,5,0,76.5
"S0dc3d744","",5,5,0,2.5,0,2,5,5,5,2.5,5,5,5,1,5,5,5,5,5,5,78
"Se1beee6c","",5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,5,90
"Se5ac52c9","",5,5,0,3,5,0,0,5,5,5,5,5,2,5,5,5,5,0,0,5,70
"S347a6c98","",5,5,5,5,5,0,5,0,5,0,5,5,5,2,0,5,5,5,0,0,67
"S59f1f9a8","",5,5,5,3.5,5,0,5,0,5,5,2.5,5,5,1,2.5,5,5,0,0,0,64.5
"Sb7cd4d2a","",,,,,,,,,,,,,,,,,,,,,
"S351ef57a","",5,5,5,5,5,2,5,0,5,5,5,5,5,2,5,5,5,5,5,5,89
"S929e4d6a","",,,,,,,,,,,,,,,,,,,,,
"Se39e632c","",5,5,5,4,0,0,0,5,5,2.5,5,0,5,5,0,5,5,5,0,5,66.5
"Sa6531aea","",2.5,5,5,1,5,5,5,5,5,5,5,5,5,0,5,0,0,0,5,0,68.5
"Sc1381eae","",5,5,5,4,5,2,5,0,5,5,2.5,5,5,5,0,5,5,0,5,5,78.5
"S69056d69","",5,5,0,3,0,0,5,0,5,2.5,5,5,2,2,5,5,5,5,5,0,64.5
"S4d6c2868","",5,5,5,5,5,2,5,5,5,2.5,5,5,5,5,0,5,5,5,5,5,89.5
"S4507db50","",,,,,,,,,,,,,,,,,,,,,
"Sb94a1cc9","",5,5,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,11
"S4a3d33f4","",,,,,,,,,,,,,,,,,,,,,
"S320f6c03","",5,5,0,4.5,5,2,5,5,5,5,5,5,5,2,5,5,5,0,5,5,83.5
"S0f3295ba","",5,5,5,3.5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,0,0,83.5
"Se71c71a3","",5,5,0,5,0,2,5,5,5,5,5,5,5,0,5,5,0,5,0,5,72
"S56ddcc32","",5,5,5,5,5,2,0,5,5,5,5,5,5,5,5,5,5,5,5,5,92
"Sfce78c33","",5,5,0,3,0,0,0,5,0,5,0,0,0,0,2.5,5,5,5,0,0,40.5
"Sdd407f2c","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,0,0,0,75
"S96c56598","",2.5,5,5,3,5,0,5,5,5,5,5,5,5,0,0,5,5,0,0,0,65.5
"S464be544","",5,5,5,5,5,5,5,0,5,2.5,5,5,5,5,0,5,5,5,5,5,87.5
"S461a8ee4","",5,5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,97
"Sb10b1f07","",5,5,5,4,5,2,5,5,5,5,5,5,5,0,5,5,5,5,5,0,86
"S4469dcd2","",5,5,0,5,0,0,0,5,0,5,5,5,5,2,5,0,5,5,0,5,62
"S70993350","",2.5,5,0,5,5,0,5,5,5,5,5,0,5,0,2.5,5,5,0,0,0,60
"S88e424ad","",5,5,0,5,0,5,5,5,5,2.5,5,5,2,2,2.5,5,5,0,5,5,74
"Sf0c45d17","",5,2.5,5,5,5,0,5,5,5,2.5,5,5,0,0,0,5,5,5,0,5,70
"Sf8fb076f","",5,5,0,4,0,0,5,5,5,0,5,1,5,2,2.5,5,5,5,0,0,59.5
"Sbac8bbd7","",5,5,5,5,0,2,5,0,5,2.5,2.5,5,5,5,5,5,5,5,5,0,77
"Se4209849","",5,5,5,4,5,2,5,5,5,5,5,5,5,5,5,5,5,0,5,5,91
"S58b3e86f","",5,5,0,3,5,2,5,0,5,2.5,5,5,5,4,2.5,5,5,0,0,0,64
"S23c46b2a","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"S70d651cb","",2.5,5,0,4,5,2,5,5,5,0,5,1,5,2,5,5,5,5,5,0,71.5
"S71175291","",5,5,5,5,5,2,5,0,5,2.5,5,5,2,0,0,0,0,0,0,0,51.5
"S691e1f03","",5,5,5,4,0,2,5,5,5,2.5,5,5,5,0,5,5,5,5,5,0,78.5
"Sd9b0111c","",5,2.5,0,5,5,2,5,5,5,2.5,5,5,5,2,5,5,5,0,5,5,79
"Sc1412eb9","",5,5,5,4.5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,94.5
"S30fc71a8","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,95
"Sc22089fa","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"S56f3ec0e","",5,5,5,4,0,0,5,0,5,5,2.5,4,5,5,5,5,5,5,5,5,80.5
"S84462a49","",,,,,,,,,,,,,,,,,,,,,
"S983ed91b","",,,,,,,,,,,,,,,,,,,,,
"S64becaf7","",,,,,,,,,,,,,,,,,,,,,
"Se20558e9","",5,5,0,5,5,0,5,5,5,5,5,5,5,2,5,5,5,5,5,0,82
"Sed30f615","",5,5,5,4.5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99.5
"Sbe7b2bc4","",5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,92
"S530e58ac","",0,5,5,5,0,0,5,0,0,5,5,5,2,5,5,5,5,5,5,0,67
"Sb888a6f8","",5,5,5,4,5,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,98
"S4d2a0b3c","",2.5,5,5,5,5,5,5,5,5,5,5,5,2,3,0,5,5,5,5,0,82.5
"S0679d153","",5,5,5,4,5,2,5,5,5,5,5,5,5,1,5,5,5,0,5,5,87
"S06461d65","",,,,,,,,,,,,,,,,,,,,,
"S6998b9c5","",,,,,,,,,,,,,,,,,,,,,
"Sf4b5b1e5","",5,5,5,4,5,2,5,5,5,5,5,5,0,0,5,5,5,5,5,5,86
"S12a95471","",5,5,5,3,5,2,5,5,0,2.5,5,4,5,5,5,5,5,5,5,0,81.5
"Scb86e520","",2.5,5,0,1,5,2,5,5,5,0,5,5,0,2,0,5,5,5,0,0,57.5
"S8e8959b6","",,,,,,,,,,,,,,,,,,,,,
"S63b715c8","",2.5,5,5,5,5,0,5,5,5,0,2.5,5,5,5,5,5,5,5,0,0,75
"S3fd20b18","",5,5,0,4,0,0,5,5,5,0,1.25,5,5,5,5,5,5,5,0,0,65.25
"Sfec4676d","",,,,,,,,,,,,,,,,,,,,,
"Sb26baa6e","",2.5,5,5,5,5,5,5,5,5,2.5,5,5,5,5,5,5,5,5,5,5,95
"Sb0436b5c","",,,,,,,,,,,,,,,,,,,,,
"Sae98ae1d","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"S59529a34","",5,5,5,4,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,96
"S2e02beb9","",5,5,0,5,5,0,5,0,5,5,2.5,5,5,5,5,5,5,5,5,0,77.5
"Seb53b3c7","",5,5,5,4,5,5,5,5,5,2.5,2.5,5,5,2,5,5,5,5,0,5,86
"S775c2a30","",5,5,5,3.5,5,5,5,5,0,2.5,2.5,5,5,5,5,5,5,5,5,5,88.5
"Sada223eb","",5,5,0,5,5,2,5,5,5,5,2.5,5,5,2,0,5,5,5,5,5,81.5
"S147282fa","",5,5,5,5,5,2,5,0,5,5,5,5,2,5,5,5,5,5,5,0,84
"Sf1a6600b","",2.5,2.5,0,1,5,2,0,0,0,2.5,2.5,0,0,2,1.25,5,0,0,0,0,26.25
"S6192851d","",,,,,,,,,,,,,,,,,,,,,
"Se3bd12f7","",5,5,5,2,5,5,0,0,5,0,5,5,3,1,2.5,5,5,5,5,0,68.5
"S8860d20e","",5,5,5,5,5,2,5,5,5,5,2.5,5,5,5,0,5,5,5,5,5,89.5
"Sea760614","",5,5,5,2,5,2,5,5,5,5,2.5,5,5,5,5,5,5,5,5,5,91.5
"Sb5060102","",,,,,,,,,,,,,,,,,,,,,
"S929a5d42","",5,0,5,5,0,2,5,5,5,0,5,5,5,0,2.5,5,5,5,5,0,69.5
"S3e405a73","",,,,,,,,,,,,,,,,,,,,,
"S60e23215","",5,5,5,4,5,2,5,0,5,5,5,5,5,5,5,5,5,0,5,0,81
"S6f1646f4","",,,,,,,,,,,,,,,,,,,,,
"S4f31fc44","",,,,,,,,,,,,,,,,,,,,,
"S4c807287","",0,5,5,4,0,2,5,0,5,0,2.5,5,5,1,5,5,5,5,0,0,59.5
"S4e53a79c","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,95
"S61545065","",5,5,5,5,5,2,5,0,5,5,5,5,0,2,3.75,5,5,0,5,5,77.75
"S107e28f3","",5,5,0,2,5,0,5,0,5,5,2.5,5,0,0,5,5,5,5,0,0,59.5
"Sbb407ee8","",5,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,5,0,0,80
"S75ec095a","",5,5,5,4,5,0,2.5,0,0,5,5,5,5,0,5,5,5,5,0,5,71.5
"Se3157f8e","",0,5,0,0,5,2,5,5,5,0,2.5,4,2,0,5,5,5,0,5,0,55.5
"S246b7c45","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"S0db86773","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"Sdbefae93","",5,5,0,3.5,5,0,0,5,5,2.5,2.5,5,0,2,3.75,5,5,0,0,0,54.25
"S85136305","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"See0425ee","",,,,,,,,,,,,,,,,,,,,,
"Sb386cfe9","",5,5,0,5,5,2,5,5,5,5,2.5,5,5,2,5,5,5,0,5,0,76.5
"S8456d469","",5,5,0,2.5,5,2,0,0,5,2.5,5,5,5,2,5,5,5,5,5,0,69
"S55b13a96","",5,0,5,3.5,5,5,5,5,5,5,5,0,2,5,5,5,5,5,0,0,75.5
"S8e370bb9","",5,5,5,5,5,0,5,0,5,2.5,5,0,5,2,5,5,5,5,5,5,79.5
"S0e5701e5","",,,,,,,,,,,,,,,,,,,,,
"S52d09f92","",2.5,5,5,2,0,0,5,5,5,0,2.5,0,3,0,1.25,0,5,0,0,0,41.25
"S7830bc89","",,,,,,,,,,,,,,,,,,,,,
"Se532adde","",5,5,5,2,5,0,5,5,5,2.5,2.5,5,5,5,5,5,5,5,0,5,82
"Sce9cb5e3","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100
"Sbe01dbeb","",5,5,5,5,5,2,5,5,5,5,5,4,2,2,5,5,5,5,5,5,90
"S3ce66e62","",5,5,0,0,0,0,5,5,5,0,0,0,0,0,0,0,0,0,0,0,25
"Sc14db201","",5,5,5,5,5,2,5,5,5,5,5,5,5,2,0,5,5,5,0,0,79
"S963cf191","",5,5,5,3.5,5,2,5,5,5,2.5,5,5,5,2,5,5,5,5,0,5,85
"S828d7bb1","",5,5,5,3,5,0,5,0,5,0,2.5,5,5,2,2.5,5,5,0,0,0,60
"Sf38dbe74","",0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"S80ad6421","",5,5,5,3,5,5,5,5,5,0,5,5,2,2,0,5,5,5,5,5,82
"S34d26725","",5,5,5,3,5,0,5,5,5,5,2.5,5,2,2,5,5,5,5,0,0,74.5
"Sd6c96410","",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,95
"S51c55921","",5,5,0,3,0,0,5,5,5,0,1.25,0,0,0,0,5,5,0,0,0,39.25
