"AnonID","Q1","Q3","N3","Q5","Q6","Q7","N7","Q9","Q10","N10","N11","N12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Total","AAC","APPS","CAP","ILA","MfP1","PPS","SVCDE","AAC.Grade","APPS.Grade","CAP.Grade","ILA.Grade","MfP1.Grade","PPS.Grade","SVCDE.Grade","School","Gender","Region","ILA.bin","PPS.MfP1","CAP.MfP1","ILA.MfP1","Y1Fs","Y2Fs","CAP.bin","PPS.bin","ILA.grade","Qual","Category","F1","SE_F1","Y1Fs.bin"
"11f6720d",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,31,NA,NA,NA,NA,NA,NA,"E",NA,NA,2,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA,NA
"11febad2",5,5,5,5,2,0,0,5,5,0,5,0,0,0,0,5,5,5,5,0,57,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"SQA","Cat1",-0.769385248215225,0.355245727673294,NA
"120731b2",5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,NA,NA,NA,82,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,1,"F",3,"Pass",NA,NA,"No",NA,NA,NA,NA,"AB","A-Level","Cat3",1.93673452577649,0.62660029640933,NA
"122c6272",5,5,5,5,0,5,0,5,5,1.25,5,5,5,5,2.5,5,5,5,5,5,83.75,NA,NA,50,61,NA,43,NA,NA,NA,"C","B",NA,"D",NA,1,"M",4,"Pass","No","No","No",1,NA,"Pass","Fail","AB","SQA","Cat3",0.664321588212445,0.427141235154356,"0-1"
"122edfa6",5,5,5,5,2,5,5,5,5,2.5,5,5,5,5,5,5,5,5,5,5,94.5,NA,NA,64,83,82,NA,NA,NA,NA,"B","A","A",NA,NA,2,"F",3,"Pass",NA,"Yes","Yes",NA,NA,"Pass",NA,"AB","A-Level","Cat3",1.22773622822304,0.505256075558823,NA
"127d9f96",5,0,2.5,5,2,5,0,5,0,1.25,5,4,5,2,5,5,5,0,0,5,61.75,NA,NA,59,57,NA,NA,NA,NA,NA,"C","C",NA,NA,NA,3,"M",4,"Pass",NA,"No","No",NA,NA,"Pass",NA,"CD","SQA","Cat2",-0.392066905888516,0.362186951870821,NA
"13926a4a",0,5,3.75,5,0,5,5,5,2.5,0,5,4,5,5,5,5,0,5,5,0,70.25,NA,NA,58,78,NA,NA,NA,NA,NA,"C","A",NA,NA,NA,3,"M",4,"Pass",NA,"No","No",NA,NA,"Pass",NA,"AB","SQA","Cat3",-0.20095125161185,0.367886238469853,NA
"13e5ed58",5,0,5,5,2,5,0,5,2.5,0,5,5,5,2,5,0,0,5,5,5,66.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.271244152663452,0.365588596961516,NA
"145bec8f",5,5,5,5,0,5,0,5,5,2.5,5,5,5,2,5,5,5,5,0,0,74.5,NA,NA,60,77,NA,66,NA,NA,NA,"B","A",NA,"B",NA,1,"M",4,"Pass","No","No","No",0,NA,"Pass","Pass","AB","SQA","Cat3",0.0975236590972258,0.380954917005257,"0-1"
"14613d31",5,5,5,5,0,5,0,5,5,0,2,5,2,2,5,5,5,5,0,0,66,NA,NA,NA,NA,51,NA,NA,NA,NA,NA,NA,"C",NA,NA,2,"F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.413262002742762,0.361655252532842,NA
"14821afd",5,5,5,5,2,5,5,5,5,3.75,5,5,5,5,5,5,5,5,5,5,95.75,NA,NA,67,72,NA,NA,NA,NA,NA,"B","A",NA,NA,NA,3,"M",3,"Pass",NA,"No","No",NA,NA,"Pass",NA,"AB","A-Level","Cat2",1.45902482213046,0.543815192281754,NA
"148f6c9",5,5,5,5,2,5,0,5,2.5,2.5,5,0,5,0,5,5,5,5,0,0,67,NA,NA,62,69,NA,60,NA,NA,NA,"B","B",NA,"B",NA,4,"F",3,"Pass","No","No","No",0,NA,"Pass","Pass","AB","A-Level","Cat3",-0.299176243297848,0.364743404220248,"0-1"
"14b34cfa",5,5,2.5,5,0,5,5,5,5,0,0,5,5,0,0,0,5,0,0,0,52.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.90599711202942,0.354018133886982,NA
"14bb69b7",5,5,3.75,5,2,5,5,5,5,4.38,5,5,5,5,3.75,5,5,5,5,0,88.88,64,58,NA,NA,NA,NA,71,"B","C",NA,NA,NA,NA,"A",1,"M",3,NA,NA,NA,NA,NA,0,NA,NA,NA,"Unknown","Unknown",0.897718855666687,0.455986626443042,NA
"14c6763c",5,5,5,5,2,5,5,5,5,5,2,5,5,5,5,5,5,5,0,0,84,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.635733335892876,0.424003784314795,NA
"1526d961",5,0,5,5,0,5,5,5,2.5,1.25,5,5,5,5,2.5,5,5,5,5,5,81.25,NA,NA,88,85,NA,67,NA,NA,NA,"A","A",NA,"B",NA,3,"M",1,"Pass","No","No","No",0,NA,"Pass","Pass","AB","Unknown","Unknown",0.503942256212999,0.410692812486958,"0-1"
"15709373",5,5,5,0,2,5,0,5,5,2.5,5,5,5,5,5,5,5,5,5,0,79.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.41256035252756,0.402567118564183,NA
"15edc1fa",5,5,5,5,5,5,0,5,5,1.25,5,5,5,2,5,5,5,5,5,5,88.25,NA,NA,NA,57,47,NA,NA,NA,NA,NA,"C","D",NA,NA,2,"M",3,"Pass",NA,NA,"Yes",NA,NA,NA,NA,"CD","A-Level","Cat3",0.660214067613862,0.426684989385278,NA
"164df997",5,5,1.25,5,0,5,0,5,2.5,2.5,2,5,5,2,5,5,5,0,0,0,60.25,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,"D",NA,NA,2,"F",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.503568700860813,0.359589320573772,NA
"16f3dd93",5,0,5,5,0,5,5,5,5,3.75,5,5,5,5,0,5,5,5,0,0,73.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.267638928988035,0.391457577235125,NA
"177b7c0f",5,0,5,5,2,5,5,5,5,0,2,5,5,5,0,5,5,5,5,0,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.0249457802021159,0.377211305907178,NA
"180f14e0",5,0,3.75,5,2,0,5,5,2.5,0,1,0,5,2,5,5,0,5,5,0,56.25,NA,NA,NA,NA,49,NA,NA,NA,NA,NA,NA,"D",NA,NA,2,"F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.907719059895905,0.354007298690015,NA
"185cf74e",5,0,5,5,0,5,0,5,5,3.13,5,5,5,5,5,5,5,5,0,5,78.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,"M",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.480627212995109,0.408534660483055,NA
"1883e7e6",5,0,5,5,0,5,0,5,5,0,3,0,5,2,2.5,5,5,5,5,0,62.5,NA,NA,NA,73,NA,NA,NA,NA,NA,NA,"A",NA,NA,NA,5,"M",3,"Pass",NA,NA,"No",NA,NA,NA,NA,"AB","Unknown","Unknown",-0.45647869855347,0.36062709440524,NA
"18b3a898",0,5,5,5,0,5,5,5,5,0,2,5,3,0,5,0,5,5,0,0,60,NA,NA,49,75,NA,NA,NA,NA,NA,"D","A",NA,NA,NA,3,"F",1,"Pass",NA,"No","No",NA,NA,"Fail",NA,"AB","A-Level","Cat1",-0.675858991929093,0.356485543628503,NA
"190f6815",5,5,5,5,2,5,5,5,5,5,5,5,5,4,5,5,5,5,5,5,96,NA,NA,91,96,NA,66,NA,NA,NA,"A","A",NA,"B",NA,1,"M",1,"Pass","No","No","No",0,NA,"Pass","Pass","AB","Unknown","Unknown",1.57437114058626,0.563706291044159,"0-1"
"1917eb6b",5,5,5,5,2,0,5,5,5,0,2,5,5,3,2.5,5,5,5,0,0,69.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.326537866366755,0.363950735794466,NA
"1924ed2a",5,5,5,5,2,5,0,5,5,1.25,5,5,5,5,3.75,0,5,5,5,5,82,NA,NA,48,77,NA,50,NA,NA,NA,"D","A",NA,"C",NA,1,"F",3,"Pass","No","No","No",1,NA,"Fail","Pass","AB","A-Level","Cat2",0.544663164601809,0.414603424665557,"0-1"
"194446c9",5,5,5,0,5,5,5,5,5,5,5,0,2,5,5,5,5,5,5,5,87,NA,NA,87,99,NA,71,NA,NA,NA,"A","A",NA,"A",NA,3,"M",2,"Pass","No","No","No",0,NA,"Pass","Pass","AB","Unknown","Unknown",0.859017445563444,0.450819734920184,"0-1"
"194c6384",5,0,5,5,2,5,5,5,5,2.5,5,5,5,5,0,5,5,5,5,5,84.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.769359991529906,0.439423935490067,NA
"19de8047",5,0,5,5,5,0,5,5,2.5,1.25,5,0,5,2,5,5,0,0,0,0,55.75,NA,NA,NA,NA,53,NA,NA,NA,NA,NA,NA,"C",NA,NA,2,"F",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.768417347396525,0.355256936099086,NA
"19f57019",5,5,5,0,0,0,5,5,2.5,1.25,5,0,0,0,5,0,5,0,5,0,48.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.981337929295267,0.353658321317031,NA
"1a527fed",5,5,2.5,5,5,5,0,5,5,1.25,5,5,2,5,5,5,5,0,5,5,80.75,NA,NA,67,62,NA,13,NA,NA,NA,"B","B",NA,"G",NA,1,"M",4,"Pass","No","No","No",1,NA,"Pass","Fail","AB","SQA","Cat2",0.384625506829326,0.400259503442923,"0-1"
"1b013010",5,5,0,5,0,5,0,5,5,1.25,5,5,5,5,5,5,5,0,5,0,71.25,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.0681522147032029,0.372973391600657,NA
"1b121cc",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,60,46,NA,32,NA,NA,NA,"B","D",NA,"E",NA,1,"M",4,"Fail","No","No","No",2,NA,"Pass","Fail","CD","SQA","Cat2",NA,NA,"2-3"
"1b1bfded",0,5,5,5,5,5,5,5,2.5,1.25,5,5,2,2,5,5,5,0,5,5,77.75,NA,NA,60,NA,91,NA,NA,NA,NA,"B",NA,"A",NA,NA,2,"M",3,NA,NA,"Yes",NA,NA,NA,"Pass",NA,NA,"Unknown","Unknown",0.228319555151982,0.388799004687954,NA
"1b2383a",5,5,3.75,5,0,5,0,5,0,3.13,2,0,5,2,5,5,5,0,5,0,60.88,NA,NA,36,53,NA,NA,NA,NA,NA,"E","C",NA,NA,NA,3,"F",4,"Pass",NA,"No","No",NA,NA,"Fail",NA,"CD","SQA","Cat1",-0.380749923741877,0.362478449412793,NA
"1b7bd038",5,5,0,0,0,0,0,5,5,1.25,5,5,5,5,5,0,5,5,0,5,61.25,NA,NA,NA,NA,48,NA,NA,NA,NA,NA,NA,"D",NA,NA,2,"F",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.495792563473235,0.359754896513784,NA
"1bd62bb",5,5,5,5,0,5,0,5,5,0.63,5,5,5,5,5,5,5,5,5,5,85.63,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.668316755775638,0.427586755713754,NA
"1c066a0f",5,5,5,5,5,0,0,5,5,0,2,0,0,2,0,5,5,5,0,0,54,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.912676134759724,0.353976775457667,NA
"1c25d2e1",2.5,5,5,5,0,0,0,5,5,0,2,0,0,0,5,5,5,5,5,0,54.5,NA,NA,NA,50,NA,NA,NA,NA,NA,NA,"C",NA,NA,NA,5,"M",4,"Pass",NA,NA,"No",NA,NA,NA,NA,"CD","SQA","Cat3",-0.910336388663635,0.353991058629311,NA
"1c3f1945",5,5,5,5,2,5,0,5,5,1.25,5,4,5,5,5,5,5,0,5,0,77.25,NA,NA,85,92,NA,NA,NA,NA,NA,"A","A",NA,NA,NA,3,"F",2,"Pass",NA,"No","No",NA,NA,"Pass",NA,"AB","Unknown","Unknown",0.308355570890422,0.394366578465877,NA
"1ca0d3b0",5,5,5,5,5,5,0,5,5,3.75,5,5,5,5,0,5,5,5,5,5,88.75,NA,NA,57,63,NA,52,NA,NA,NA,"C","B",NA,"C",NA,4,"M",3,"Pass","No","No","No",0,NA,"Pass","Pass","AB","A-Level","Cat3",1.11372131659316,0.487293280287767,"0-1"
"1cbf7992",5,5,3.75,5,2,5,5,5,5,4.38,5,5,5,5,5,5,5,5,5,5,95.13,NA,NA,85,75,NA,NA,NA,NA,NA,"A","A",NA,NA,NA,3,"M",2,"Pass",NA,"No","No",NA,NA,"Pass",NA,"AB","Unknown","Unknown",1.3983824186998,0.53349484025754,NA
"1d1ddae2",2.5,0,1.25,0,2,2.5,0,0,5,1.88,2,1,2,0,5,0,5,0,0,0,30.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-1.67476784774324,0.364179956181609,NA
"1d37166d",5,5,5,5,2,5,5,5,5,5,2,5,5,5,2.5,5,5,0,5,5,86.5,NA,NA,75,84,NA,63,NA,NA,NA,"A","A",NA,"B",NA,4,"M",1,"Pass","No","No","No",0,NA,"Pass","Pass","AB","Unknown","Unknown",1.08343089946928,0.482672316841542,"0-1"
"1d451d6b",5,5,5,0,0,0,0,5,5,1.88,1,5,0,0,1.25,5,5,5,0,0,49.13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.963551507083289,0.353721831508209,NA
"1e4aee81",5,5,5,5,2,0,5,5,5,0,0,5,5,5,0,5,5,5,0,0,67,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.355501367431356,0.363148287702315,NA
"1e80cacb",5,0,5,5,2,5,0,5,0,4.38,5,5,5,5,5,5,5,5,5,5,81.38,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.724568916212372,0.434042400772071,NA
"1e948aad",5,0,5,0,0,0,0,0,0,0,5,0,2,0,5,0,0,0,0,0,22,NA,NA,58,69,NA,53,NA,NA,NA,"C","B",NA,"C",NA,3,"M",4,"Pass","No","No","No",0,NA,"Pass","Pass","AB","SQA","Cat1",-1.98990652534794,0.379416638449558,"0-1"
"1eb410d8",5,5,5,5,2,5,0,5,5,0,5,5,5,2,5,0,5,0,0,0,64,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.363533689887261,0.362932238451086,NA
"1f51fdf2",5,0,3.75,5,2,2.5,0,5,5,1.25,1,5,2,1,2.5,5,5,0,0,0,51,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.859242896988297,0.35435744807475,NA
"205202",2.5,0,2.5,5,5,0,0,5,0,1.25,0,4,2,2,2.5,5,5,5,0,0,46.75,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-1.15166479547426,0.353773547242193,NA
"20cd8fef",5,0,5,0,0,0,0,5,0,1.88,5,5,2,2,0,5,5,0,0,0,40.88,NA,NA,72,72,67,NA,NA,NA,NA,"A","A","B",NA,NA,2,"M",4,"Pass",NA,"Yes","Yes",NA,NA,"Pass",NA,"AB","SQA","Cat1",-1.03661508465961,0.353548892800264,NA
"20f6ace3",5,0,3.75,5,2,5,5,5,2.5,0,5,5,5,5,5,5,5,5,5,5,83.25,NA,NA,80,80,NA,NA,NA,NA,NA,"A","A",NA,NA,NA,4,"M",4,"Pass",NA,"No","No",NA,NA,"Pass",NA,"AB","SQA","Cat3",0.395835443585889,0.40117575531781,NA
"21bad796",0,5,5,0,5,5,0,5,2.5,3.13,5,5,5,2,1.25,5,5,5,5,5,73.88,NA,NA,82,85,NA,63,NA,NA,NA,"A","A",NA,"B",NA,4,"M",2,"Pass","No","No","No",0,NA,"Pass","Pass","AB","A-Level","Cat3",0.243256660028482,0.389791855301504,"0-1"
"220c8ce3",5,5,5,5,2,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,94,NA,NA,90,97,NA,90,NA,NA,NA,"A","A",NA,"A",NA,3,"F",1,"Pass","No","No","No",0,NA,"Pass","Pass","AB","Unknown","Unknown",1.3026424366771,0.517481287629435,"0-1"
"226f85f4",5,0,1.25,5,2,0,0,0,2.5,1.25,5,0,0,0,2.5,0,5,0,0,0,29.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-1.73932235233575,0.366705539179169,NA
"2280942e",5,5,2.5,5,0,5,5,5,5,1.25,2,0,5,2,5,5,5,5,0,5,72.75,NA,NA,77,79,NA,NA,NA,NA,NA,"A","A",NA,NA,NA,5,"F",2,"Pass",NA,"No","No",NA,NA,"Pass",NA,"AB","Unknown","Unknown",-0.17489373139219,0.368803834990231,NA
"22b4eda3",5,5,5,5,5,5,0,5,2.5,3.75,5,5,5,1,5,5,5,5,5,5,87.25,NA,NA,78,89,NA,83,NA,NA,NA,"A","A",NA,"A",NA,1,"M",3,"Pass","No","No","No",0,NA,"Pass","Pass","AB","A-Level","Cat3",0.756568176591528,0.437865468232378,"0-1"
"22f52e87",5,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,5,5,0,0,0,17.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-2.24632932360689,0.397417045494547,NA
"23417045",5,0,2.5,0,2,5,5,5,0,0,0,5,2,5,5,5,5,5,0,0,56.5,NA,NA,NA,NA,45,NA,NA,NA,NA,NA,NA,"D",NA,NA,5,"F",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-0.809180676136188,0.354814857117646,NA
"23a386ca",5,0,0,5,0,2.5,0,0,0,0.63,0,0,0,2,2.5,0,5,5,0,5,32.63,NA,NA,53,56,NA,NA,NA,NA,NA,"C","C",NA,NA,NA,5,"F",4,"Pass",NA,"No","No",NA,NA,"Pass",NA,"CD","SQA","Cat2",-1.67191151162291,0.364075059652928,NA
"241d871d",5,0,5,5,0,0,0,5,2.5,0,0,0,5,2,2.5,5,5,0,0,0,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-1.19051752107434,0.353996585812949,NA
"24397b52",5,0,5,5,0,5,5,5,5,1.25,2,5,2,5,5,5,5,5,5,5,80.25,NA,NA,NA,NA,56,NA,NA,NA,NA,NA,NA,"C",NA,NA,2,"M",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.356630165384343,0.398027915827343,NA
"2444a45",5,5,5,5,0,5,5,5,5,5,2,0,0,0,5,5,5,0,0,0,62,NA,NA,82,66,64,69,NA,NA,NA,"A","B","B","B",NA,1,"F",2,"Pass","Yes","Yes","Yes",0,NA,"Pass","Pass","AB","Unknown","Unknown",-0.363065293078603,0.362944760934026,"0-1"
"24a3a540",2.5,5,0,5,0,0,0,0,5,0,2,5,5,2,5,5,5,5,0,0,51.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-1.08860913422418,0.353572204504254,NA
"24bb35a",5,5,0,5,0,2.5,0,5,5,0,5,0,5,0,0,5,5,0,0,0,47.5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"M",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",-1.11296270252908,0.35362695257071,NA
"25236f9d",5,5,5,5,2,5,0,5,5,5,5,5,5,5,5,5,5,5,0,5,87,NA,NA,78,94,NA,62,NA,NA,NA,"A","A",NA,"B",NA,1,"M",3,"Pass","No","No","No",0,NA,"Pass","Pass","AB","A-Level","Cat3",1.02137585567496,0.473427587145323,"0-1"
"253374f5",5,5,5,5,2,5,0,5,5,5,5,5,5,5,5,5,5,5,5,0,87,NA,NA,NA,NA,85,NA,NA,NA,NA,NA,NA,"A",NA,NA,5,"M",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.95997203428011,0.464595549979574,NA
"253ca842",5,5,5,5,2,5,5,5,2.5,5,5,5,5,5,5,5,5,5,5,5,94.5,NA,NA,84,97,NA,87,NA,NA,NA,"A","A",NA,"A",NA,2,"F",4,"Pass","No","No","No",0,NA,"Pass","Pass","AB","SQA","Cat3",1.50086191936997,0.550996950446502,"0-1"
"2551e4f4",5,5,5,5,0,5,0,5,5,3.13,2,5,5,5,5,5,5,5,5,5,85.13,NA,NA,64,72,NA,NA,NA,NA,NA,"B","A",NA,NA,NA,3,"F",3,"Pass",NA,"No","No",NA,NA,"Pass",NA,"AB","A-Level","Cat3",0.785732428383633,0.441443551326389,NA
"255ef620",5,5,5,0,2,5,0,5,2.5,0,5,5,5,5,2.5,5,5,5,5,5,77,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5,"F",3,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",0.258208681011428,0.390806647383902,NA
"25c3a4a9",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,59,NA,NA,NA,NA,NA,NA,"C",NA,NA,2,"M",4,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Unknown","Unknown",NA,NA,NA
