"Gender","Domicile.on.Programme.Entry","Nationality","Fee.Status.Grouping","Fee.Status.Description","Programme.Of.Study.Sought.Title","Year.Of.Attendance","Year.Of.Programme","Course.Code","Course.Name","AnonID"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10069","Honours Algebra","ea28c1fd"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10073","Linear Programming, Modelling and Solution","ea28c1fd"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10007","Stochastic Modelling","a4863809"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10010","Mathematical Education","a4863809"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10013","Mathematical Biology","a4863809"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10015","Simulation","a4863809"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10024","Probability, Measure & Finance","a4863809"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10063","Mathematics Project","a4863809"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10073","Linear Programming, Modelling and Solution","a4863809"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10079","Group Theory","a4863809"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",6,4,"MATH10091","Symmetry and Geometry","a4863809"
"F","Bulgaria","Bulgaria","SEU","EU/EEA fee rate","Computer Science",4,2,"MATH08067","Probability with Applications","f35f4902"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10017","Commutative Algebra","6d43520a"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10063","Mathematics Project","6d43520a"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10074","Geometry","6d43520a"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10075","General and Algebraic Topology","6d43520a"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10078","Group and Galois Theory","6d43520a"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10081","Linear and Fourier Analysis","6d43520a"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH11120","Algebraic Geometry","6d43520a"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH11142","Modern Methods in Geometry and Topology","6d43520a"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH11144","Topics in Ring and Representation Theory","6d43520a"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10013","Mathematical Biology","d4f30120"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10015","Simulation","d4f30120"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10063","Mathematics Project","d4f30120"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10078","Group and Galois Theory","d4f30120"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10091","Symmetry and Geometry","d4f30120"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH11120","Algebraic Geometry","d4f30120"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH10010","Mathematical Education","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH10028","Theory of Statistical Inference","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH10063","Mathematics Project","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH10065","Fundamentals of Operational Research","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH10071","Introduction to Number Theory","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH10072","Combinatorics and Graph Theory","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH10073","Linear Programming, Modelling and Solution","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH10079","Group Theory","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH11177","Bayesian Theory","dea02cf2"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Statistics",4,4,"MATH11180","Mathematics in Action A","dea02cf2"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH10017","Commutative Algebra","203b8d97"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11120","Algebraic Geometry","203b8d97"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","203b8d97"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11142","Modern Methods in Geometry and Topology","203b8d97"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11144","Topics in Ring and Representation Theory","203b8d97"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11169","Quantum Information","203b8d97"
"F","England","Ireland","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH10003","Financial Mathematics","4a9d644f"
"F","England","Ireland","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH10053","Applied Stochastic Differential Equations","4a9d644f"
"F","England","Ireland","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","4a9d644f"
"F","England","Ireland","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11147","Large Scale Optimization for Data Science","4a9d644f"
"F","England","Ireland","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11183","Topics in Applied Operational Research","4a9d644f"
"F","England","Ireland","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11192","Integer and Combinatorial Optimization","4a9d644f"
"F","England","Ireland","SEU","EU/EEA fee rate","Mathematics",5,5,"MATH11193","Operational Research in the Energy Industry","4a9d644f"
"M","Spain","United Kingdom","SEU","EU/EEA fee rate","Theoretical Physics",5,5,"MATH11138","Geometry of General Relativity","d05d975c"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Ordinary Sciences",5,3,"MATH10060","Numerical Ordinary Differential Equations and Applications","d887ad59"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","e2cccc13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10013","Mathematical Biology","e2cccc13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10060","Numerical Ordinary Differential Equations and Applications","e2cccc13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","e2cccc13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10071","Introduction to Number Theory","e2cccc13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10076","General Topology","e2cccc13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10078","Group and Galois Theory","e2cccc13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH10082","Linear Analysis","e2cccc13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,4,"MATH11142","Modern Methods in Geometry and Topology","e2cccc13"
"M","Luxembourg","Luxembourg","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH10069","Honours Algebra","115cc95a"
"M","Luxembourg","Luxembourg","SEU","EU/EEA fee rate","Mathematical Physics",5,5,"MATH11138","Geometry of General Relativity","115cc95a"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10003","Financial Mathematics","3f6b275d"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10066","Honours Differential Equations","3f6b275d"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10067","Honours Complex Variables","3f6b275d"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10068","Honours Analysis","3f6b275d"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10073","Linear Programming, Modelling and Solution","3f6b275d"
"M","Turkey","Turkey","OVERSEAS","Overseas/International fee rate","Economics and Mathematics",4,4,"MATH10003","Financial Mathematics","43b8f8ab"
"M","Turkey","Turkey","OVERSEAS","Overseas/International fee rate","Economics and Mathematics",4,4,"MATH10053","Applied Stochastic Differential Equations","43b8f8ab"
"M","Turkey","Turkey","OVERSEAS","Overseas/International fee rate","Economics and Mathematics",4,4,"MATH10060","Numerical Ordinary Differential Equations and Applications","43b8f8ab"
"M","Turkey","Turkey","OVERSEAS","Overseas/International fee rate","Economics and Mathematics",4,4,"MATH10073","Linear Programming, Modelling and Solution","43b8f8ab"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science",4,3,"MATH08067","Probability with Applications","f30b4d93"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10010","Mathematical Education","dac43d5a"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10060","Numerical Ordinary Differential Equations and Applications","dac43d5a"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10063","Mathematics Project","dac43d5a"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10065","Fundamentals of Operational Research","dac43d5a"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10071","Introduction to Number Theory","dac43d5a"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10098","Numerical Linear Algebra","dac43d5a"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH10007","Stochastic Modelling","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH10017","Commutative Algebra","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH10060","Numerical Ordinary Differential Equations and Applications","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH10072","Combinatorics and Graph Theory","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH11142","Modern Methods in Geometry and Topology","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH11144","Topics in Ring and Representation Theory","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH11169","Quantum Information","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,5,"MATH11180","Mathematics in Action A","3d3a7a46"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10066","Honours Differential Equations","1ca5eb35"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"MATH10074","Geometry","1ca5eb35"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematical Physics",5,5,"MATH10071","Introduction to Number Theory","eab642b8"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematical Physics",5,5,"MATH11138","Geometry of General Relativity","eab642b8"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematical Physics",5,5,"MATH11169","Quantum Information","eab642b8"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10010","Mathematical Education","942fa4e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10013","Mathematical Biology","942fa4e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10063","Mathematics Project","942fa4e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10065","Fundamentals of Operational Research","942fa4e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10073","Linear Programming, Modelling and Solution","942fa4e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH10086","Advanced Methods of Applied Mathematics","942fa4e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"MATH11180","Mathematics in Action A","942fa4e"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH10028","Theory of Statistical Inference","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH10053","Applied Stochastic Differential Equations","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH10063","Mathematics Project","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH10064","Multivariate Data Analysis","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH10092","Statistical Consultancy","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH10093","Statistical Computing","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH11024","The Analysis of Survival Data","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH11111","Fundamentals of Optimization","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH11170","Mathematics of Data Assimilation","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH11175","Bayesian Data Analysis","39453f05"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics and Statistics",4,4,"MATH11177","Bayesian Theory","39453f05"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematical Physics",5,4,"MATH10088","Differentiable Manifolds","b41127b8"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematical Physics",5,4,"MATH11138","Geometry of General Relativity","b41127b8"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10060","Numerical Ordinary Differential Equations and Applications","5a594eaf"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10066","Honours Differential Equations","5a594eaf"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10067","Honours Complex Variables","5a594eaf"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10068","Honours Analysis","5a594eaf"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10069","Honours Algebra","5a594eaf"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10071","Introduction to Number Theory","5a594eaf"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10072","Combinatorics and Graph Theory","5a594eaf"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,3,"MATH10074","Geometry","5a594eaf"
"M","Cyprus (European Union)","Cyprus (European Union)","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10007","Stochastic Modelling","2bf052e4"
"M","Cyprus (European Union)","Cyprus (European Union)","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10024","Probability, Measure & Finance","2bf052e4"
"M","Cyprus (European Union)","Cyprus (European Union)","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10028","Theory of Statistical Inference","2bf052e4"
"M","Cyprus (European Union)","Cyprus (European Union)","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10053","Applied Stochastic Differential Equations","2bf052e4"
"M","Cyprus (European Union)","Cyprus (European Union)","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","2bf052e4"
"M","Cyprus (European Union)","Cyprus (European Union)","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10086","Advanced Methods of Applied Mathematics","2bf052e4"
"M","Cyprus (European Union)","Cyprus (European Union)","SEU","EU/EEA fee rate","Mathematics",4,4,"MATH10095","Statistical Methodology","2bf052e4"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Economics and Mathematics",1,1,"MATH08057","Introduction to Linear Algebra","f7ef72e0"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Economics and Mathematics",1,1,"MATH08058","Calculus and its Applications","f7ef72e0"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Economics and Mathematics",1,1,"MATH08059","Proofs and Problem Solving","f7ef72e0"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,4,"MATH10010","Mathematical Education","83d855f6"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,4,"MATH10013","Mathematical Biology","83d855f6"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,4,"MATH10063","Mathematics Project","83d855f6"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,4,"MATH10073","Linear Programming, Modelling and Solution","83d855f6"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",4,4,"MATH10086","Advanced Methods of Applied Mathematics","83d855f6"
"M","Korea (South)","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Economics and Mathematics",3,2,"MATH08051","Statistics (Year 2)","dac38cf5"
"M","Korea (South)","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Economics and Mathematics",3,2,"MATH08063","Several Variable Calculus and Differential Equations","dac38cf5"
"M","Korea (South)","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Economics and Mathematics",3,2,"MATH08064","Fundamentals of Pure Mathematics","dac38cf5"
"M","Korea (South)","Korea (South) [Korea, Republic of]","OVERSEAS","Overseas/International fee rate","Economics and Mathematics",3,2,"MATH08066","Probability","dac38cf5"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Ordinary Sciences",5,3,"MATH10024","Probability, Measure & Finance","c371d95f"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Ordinary Sciences",5,3,"MATH10060","Numerical Ordinary Differential Equations and Applications","c371d95f"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Ordinary Sciences",5,3,"MATH10071","Introduction to Number Theory","c371d95f"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Ordinary Sciences",5,3,"MATH10095","Statistical Methodology","c371d95f"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Ordinary Sciences",5,3,"MATH10098","Numerical Linear Algebra","c371d95f"
"M","Guernsey","United Kingdom","OVERSEAS","Channel Islands & Isle of Man fee rate","Mathematical Physics",5,5,"MATH10003","Financial Mathematics","3984345"
"M","Guernsey","United Kingdom","OVERSEAS","Channel Islands & Isle of Man fee rate","Mathematical Physics",5,5,"MATH10086","Advanced Methods of Applied Mathematics","3984345"
"M","Guernsey","United Kingdom","OVERSEAS","Channel Islands & Isle of Man fee rate","Mathematical Physics",5,5,"MATH11138","Geometry of General Relativity","3984345"
"M","Guernsey","United Kingdom","OVERSEAS","Channel Islands & Isle of Man fee rate","Mathematical Physics",5,5,"MATH11169","Quantum Information","3984345"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH10086","Advanced Methods of Applied Mathematics","d95c6f04"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH10091","Symmetry and Geometry","d95c6f04"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11029","Stochastic Modelling","d95c6f04"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11127","Mathematics Dissertation","d95c6f04"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"MATH11138","Geometry of General Relativity","d95c6f04"
