"Start","End","Duration","Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Total","AnonID"
"","","",2.5,0,0,2.5,0,0,0,0,0,2.5,2.5,5,2,0,2.5,0,0,0,0,0,19.5,"17d24f5"
"","","",5,5,5,2,0,5,5,0,5,0,2.5,5,5,1,2.5,5,5,5,5,0,68,"63ba30b"
"","","",5,5,0,5,0,0,5,0,5,0,5,1,5,5,5,0,0,0,5,5,56,"424fd899"
"","","",5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,97,"8fb8547b"
"","","",2.5,0,5,4.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,12,"7ddda11b"
"","","",5,5,5,4,5,0,5,0,5,2.5,5,5,5,0,5,5,5,0,0,0,66.5,"f391e6e0"
"","","",0,5,0,3,5,0,5,0,5,5,5,5,5,0,5,0,5,0,0,0,53,"6d3ecdee"
"","","",5,5,5,4.5,5,0,5,0,5,5,2.5,5,5,2,5,5,5,5,0,5,79,"34ba338a"
"","","",5,5,5,5,5,2,5,0,5,2.5,5,5,5,5,0,5,5,5,5,5,84.5,"5cb98c74"
"","","",5,5,0,4.5,5,0,5,5,5,2.5,5,5,0,0,5,5,5,5,0,0,67,"58370012"
"","","",5,5,0,0,0,2,5,0,0,0,2.5,4,5,1,5,0,5,5,0,0,44.5,"33ba7dfd"
"","","",2.5,5,0,4,5,2,5,0,0,0,5,5,2,2,3.75,5,5,5,0,0,56.25,"1e385116"
"","","",0,5,5,2,5,0,0,0,5,0,5,0,0,0,0,5,5,0,0,0,37,"34a245fa"
"","","",2.5,0,5,2.5,0,0,5,0,5,0,2.5,5,5,0,5,0,5,5,0,0,47.5,"c37b8fa5"
"","","",5,5,0,3.5,5,0,5,5,5,2.5,5,5,5,5,3.75,0,5,0,5,0,69.75,"83e5fb84"
"","","",2.5,5,5,4,5,2,5,5,5,5,5,5,5,1,5,5,5,5,5,0,84.5,"b269d035"
"","","",5,5,0,5,5,2,0,0,5,5,5,5,5,2,5,5,5,5,0,0,69,"3d10b6c9"
"","","",0,5,0,3,0,0,0,0,0,0,1.25,0,0,0,0,5,0,0,0,0,14.25,"f96fd6c5"
"","","",2.5,5,5,4,5,5,0,5,5,0,5,5,0,0,0,5,5,5,5,0,66.5,"da23c7ae"
"","","",5,5,5,1,5,2,2.5,0,5,0,2.5,0,5,0,0,5,5,5,5,0,58,"120afc"
"","","",2.5,5,5,2,5,0,5,5,5,2.5,2.5,5,0,0,5,5,5,0,0,0,59.5,"4381937d"
"","","",5,5,5,4.5,5,2,5,5,5,5,5,5,5,2,5,5,5,5,0,5,88.5,"a660464f"
"","","",2.5,5,0,1,5,5,0,5,5,2.5,5,5,2,0,0,5,5,0,0,0,53,"5d9a1eff"
"","","",5,5,5,5,0,0,5,0,5,5,5,5,5,0,5,5,5,5,0,0,70,"f986a7f3"
"","","",5,5,0,4,5,5,5,5,5,5,5,5,0,4,5,5,5,5,5,0,83,"7ca90d34"
"","","",5,5,0,5,0,2,5,5,5,5,5,5,5,2,5,5,5,5,0,5,79,"9ce120be"
"","","",5,5,0,5,5,0,0,0,5,2.5,2.5,5,3,2,2.5,5,5,5,0,0,57.5,"57574566"
"","","",5,5,5,5,5,2,5,0,5,5,5,5,5,5,5,5,5,5,0,5,87,"4dbf2e68"
"","","",5,5,0,2,5,0,5,5,0,2.5,2.5,1,5,5,0,0,5,5,0,0,53,"f4f14f4"
"","","",5,0,5,5,0,5,2.5,5,5,5,5,1,2,5,2.5,5,5,5,0,0,68,"468c823c"
"","","",5,5,5,2.5,5,2,5,0,5,0,2.5,5,5,5,5,5,5,5,5,0,77,"3fc7b92"
"","","",0,5,0,2,5,2,0,0,5,0,2.5,5,2,1,5,5,5,5,0,0,49.5,"a8be8b6c"
"","","",5,5,5,3,5,2,2.5,0,5,2.5,5,5,5,4,3.75,5,5,0,0,0,67.75,"1a971629"
"","","",5,5,0,5,5,0,2.5,5,5,5,5,5,5,5,5,5,5,5,5,0,82.5,"19037261"
"","","",5,5,5,3,0,0,5,5,0,0,1.25,4,5,0,2.5,0,0,0,5,0,45.75,"d1a9dbf9"
"","","",2.5,5,0,5,5,2,5,5,5,5,5,5,5,2,5,5,5,5,0,0,76.5,"a6f01858"
"","","",5,5,5,0,0,2,5,5,5,0,2.5,5,5,2,5,5,5,5,0,0,66.5,"2c8c3fc9"
"","","",5,5,5,5,5,0,5,5,5,5,5,0,5,5,2.5,5,5,5,0,5,82.5,"17f8e72f"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"149fccfb"
"","","",5,5,5,5,5,0,2.5,5,5,2.5,5,5,5,5,3.75,5,5,5,5,5,88.75,"9f6055bc"
"","","",2.5,5,5,4,5,0,5,0,5,2.5,5,5,5,5,5,5,5,5,0,5,79,"cd750ef6"
"","","",2.5,5,5,5,5,2,5,0,5,5,5,5,5,2,5,5,5,0,0,5,76.5,"f92531c6"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8600f1b2"
"","","",5,5,0,5,5,0,5,5,0,2.5,2.5,0,5,5,5,5,0,5,0,0,60,"8d1c9d12"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"8940dbbd"
"","","",5,5,0,5,5,2,5,5,0,5,5,5,0,2,0,5,5,5,0,0,64,"62451212"
"","","",5,5,5,3,5,5,5,0,5,5,5,5,5,4,5,5,5,5,5,5,92,"9c67a0ea"
"","","",0,0,0,0,0,0,0,0,0,0,5,0,0,0,0,0,5,0,0,0,10,"ae37d839"
"","","",5,5,5,3,5,5,5,0,5,5,5,5,5,2,5,5,5,5,5,5,90,"aa89f0ea"
"","","",5,5,5,5,0,5,0,0,5,5,2.5,5,2,5,5,0,0,0,0,0,54.5,"d18dd2b8"
"","","",5,5,5,5,5,2,5,5,5,5,5,5,2,5,5,5,5,5,5,5,94,"aacb32a4"
"","","",2.5,5,5,4,0,0,0,0,5,2.5,2.5,5,2,0,0,5,5,0,5,0,48.5,"a866e251"
"","","",5,0,5,4,5,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,88,"443d37e2"
"","","",5,5,5,5,5,0,5,5,5,2.5,5,5,5,2,5,5,5,5,5,0,84.5,"6eff0915"
"","","",5,5,5,5,5,2,0,5,5,5,2.5,5,5,5,5,5,5,5,5,0,84.5,"457139f6"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"e08fa91e"
"","","",5,5,5,4,5,0,5,5,5,5,5,0,5,2,5,5,5,5,0,5,81,"4bf0519"
"","","",5,5,5,5,5,0,5,0,5,5,5,4,5,2,5,5,5,5,5,0,81,"76ed7"
"","","",5,5,0,3.5,5,2,0,5,5,0,5,5,2,2,2.5,5,5,5,0,5,67,"bbe04e06"
"","","",5,5,5,5,5,0,5,5,5,5,5,5,0,2,5,5,5,5,5,5,87,"883f8578"
"","","",5,5,0,2.5,0,5,5,5,0,5,2.5,5,5,1,5,5,5,5,0,0,66,"ed92e81c"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"73b82fd1"
"","","",0,5,5,2.5,0,0,2.5,0,5,0,5,5,2,2,5,5,5,5,0,0,54,"85db308e"
"","","",5,5,0,4,0,2,5,5,5,5,2.5,0,5,2,5,5,5,5,0,0,65.5,"8b7a9191"
"","","",5,0,0,0,0,0,0,0,0,0,2.5,0,5,0,0,0,0,5,0,0,17.5,"20942db4"
"","","",2.5,5,0,0,0,0,5,5,0,0,0,5,5,2,5,5,5,5,0,0,49.5,"b8054ddf"
"","","",5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,95,"f0dcbab9"
"","","",5,5,0,2,5,2,5,5,5,2.5,5,5,5,2,5,5,5,0,0,5,73.5,"65457f94"
"","","",5,5,5,2,5,0,5,0,0,2.5,5,0,0,0,0,0,0,0,0,0,34.5,"e413cb91"
"","","",5,5,5,2,5,2,5,5,5,0,2.5,5,5,2,5,5,5,0,0,0,68.5,"33a7a468"
"","","",5,5,5,5,5,5,5,5,5,5,3.75,5,5,5,5,5,5,5,5,5,98.75,"e04ce1a9"
"","","",5,5,5,2,5,2,5,5,5,0,5,5,5,3,3.75,5,5,0,5,0,75.75,"53bfef9d"
"","","",5,5,0,2,5,0,5,5,5,2.5,1.25,0,2,1,5,5,5,0,0,0,53.75,"5f438611"
"","","",5,5,5,5,5,0,2.5,5,5,2.5,2.5,5,2,5,3.75,5,5,5,0,5,78.25,"80bca9b7"
"","","",5,5,0,3,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,18,"2992f2"
"","","",0,0,0,3,0,0,2.5,5,5,0,5,4,2,0,5,5,5,5,0,0,46.5,"ab16107a"
"","","",2.5,5,5,5,5,5,5,5,5,5,2.5,0,2,0,2.5,5,5,5,0,0,69.5,"324d13c3"
"","","",5,5,5,5,5,5,5,5,5,0,2.5,5,5,2,2.5,5,5,5,0,0,77,"6d5c7847"
"","","",5,5,5,4,5,0,5,5,5,5,5,4,5,2,5,5,5,5,0,0,80,"183858f9"
"","","",5,0,5,5,5,2,5,5,5,5,5,5,5,5,0,5,5,5,5,5,87,"911a3f6a"
"","","",5,0,0,2.5,0,0,0,5,5,2.5,5,0,0,0,2.5,5,5,5,0,0,42.5,"dd2eeee3"
"","","",5,0,5,2,5,2,5,0,5,5,5,5,5,5,5,5,5,5,5,0,79,"f9948779"
"","","",5,5,5,3,5,2,0,5,0,0,2.5,0,0,0,1.25,0,5,5,0,0,43.75,"f555e319"
"","","",NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"abd99bd5"
"","","",5,5,0,2,5,0,5,5,5,2.5,5,5,2,1,5,5,5,0,5,0,67.5,"e604aa0d"
"","","",5,5,0,5,5,0,0,5,5,5,2.5,5,5,2,5,5,5,0,0,0,64.5,"8fda8c2f"
"","","",5,5,5,5,5,0,5,0,5,5,5,5,5,5,5,5,5,5,5,5,90,"c6152cf1"
"","","",5,5,0,4,5,0,5,0,5,2.5,5,5,5,5,5,5,5,5,5,0,76.5,"e054d9d5"
"","","",5,5,5,5,5,0,5,0,5,2.5,3.75,5,3,0,3.75,5,5,5,0,5,73,"a9860300"
"","","",5,5,0,5,5,0,5,0,5,5,5,5,5,2,5,5,5,5,0,5,77,"cfeca78e"
"","","",5,5,0,2,5,2,5,0,5,2.5,2.5,5,5,4,3.75,5,5,0,0,0,61.75,"e311cd3c"
"","","",5,0,0,0,0,0,0,5,5,0,0,0,0,0,0,5,0,0,0,0,20,"66785b7c"
"","","",5,5,0,5,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,20,"3f6b275d"
"","","",5,5,5,3.5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,93.5,"9712af0"
"","","",2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.5,"53ebbd9c"
"","","",5,0,0,3,5,0,5,5,5,2.5,0,0,5,2,5,5,5,0,5,0,57.5,"28b2a132"
