"Gender","Domicile.on.Programme.Entry","Nationality","Fee.Status.Grouping","Fee.Status.Description","Programme.Of.Study.Sought.Title","Year.Of.Attendance","Year.Of.Programme","Course.Code","Course.Name","AnonID"
"M","England","United Kingdom","HOME","UK fee rate","Physics",5,3,"PHYS08041","Algebra and Calculus","af44bdbc"
"M","England","United Kingdom","HOME","UK fee rate","Physics",5,4,"PHYS08041","Algebra and Calculus","f97ffdcf"
"M","England","United Kingdom","HOME","UK fee rate","BSc General",4,3,"PHYS08036","Mathematics for Physics 2","c2434493"
"M","England","United Kingdom","HOME","UK fee rate","BSc General",4,3,"PHYS08041","Algebra and Calculus","c2434493"
"M","England","United Kingdom","HOME","UK fee rate","Mathematics (Pure Mathematics)",5,4,"PHYS08016","Physics 1A:  Foundations","2fed42ca"
"M","Bulgaria","Bulgaria","SEU","EU/EEA fee rate","Electronics and Electrical Engineering",4,2,"SCEE08009","Engineering Mathematics 2A","be39b638"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geology",5,5,"PHYS08016","Physics 1A:  Foundations","59a114be"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geology",5,5,"PHYS08035","Mathematics for Physics 1","59a114be"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geology",5,5,"PHYS08036","Mathematics for Physics 2","59a114be"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",3,2,"PHYS08041","Algebra and Calculus","98c64fd4"
"M","England","United Kingdom","HOME","UK fee rate","Physics",4,3,"PHYS08041","Algebra and Calculus","b3a6a82"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geophysics and Meteorology",6,5,"PHYS08041","Algebra and Calculus","2c2e5b7c"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",4,2,"PHYS08016","Physics 1A:  Foundations","acb0e780"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",4,2,"PHYS08035","Mathematics for Physics 1","acb0e780"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",4,2,"PHYS08036","Mathematics for Physics 2","acb0e780"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",2,2,"PHYS08016","Physics 1A:  Foundations","40db2fe"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",2,2,"PHYS08035","Mathematics for Physics 1","40db2fe"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",2,2,"PHYS08036","Mathematics for Physics 2","40db2fe"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",5,4,"PHYS08041","Algebra and Calculus","7900a32e"
"M","Scotland","Brazil","HOME","UK fee rate","Geophysics and Meteorology",5,4,"PHYS08036","Mathematics for Physics 2","ee9dd5a7"
"M","England","United Kingdom","HOME","UK fee rate","Physics",6,5,"PHYS08041","Algebra and Calculus","b4ef17b0"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Structural Engineering with Architecture",3,3,"SCEE08009","Engineering Mathematics 2A","27a28459"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geology",5,5,"PHYS08041","Algebra and Calculus","1992c66a"
"F","England","United Kingdom","HOME","UK fee rate","Astrophysics",6,5,"PHYS08041","Algebra and Calculus","ee97385f"
"M","China","China","OVERSEAS","Overseas/International fee rate","Civil Engineering",4,3,"PHYS08016","Physics 1A:  Foundations","195b2d29"
"M","China","China","OVERSEAS","Overseas/International fee rate","History",4,4,"PHYS08016","Physics 1A:  Foundations","7dfcd140"
"F","Scotland","United Kingdom","HOME","UK fee rate","Geophysics",4,3,"PHYS08041","Algebra and Calculus","79edfa2e"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",7,5,"PHYS08036","Mathematics for Physics 2","28355389"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",7,5,"PHYS08041","Algebra and Calculus","28355389"
"M","Scotland","United Kingdom","HOME","UK fee rate","Chemistry with a Year Abroad",5,5,"PHYS08016","Physics 1A:  Foundations","739e4d89"
"M","Netherlands","Netherlands","SEU","EU/EEA fee rate","Physics",4,3,"PHYS08016","Physics 1A:  Foundations","a99498ba"
"M","Netherlands","Netherlands","SEU","EU/EEA fee rate","Physics",4,3,"PHYS08036","Mathematics for Physics 2","a99498ba"
"M","Scotland","United Kingdom","HOME","UK fee rate","Ordinary Sciences",6,3,"PHYS08016","Physics 1A:  Foundations","957f6740"
"M","Scotland","United Kingdom","HOME","UK fee rate","Ordinary Sciences",6,3,"PHYS08035","Mathematics for Physics 1","957f6740"
"M","Scotland","United Kingdom","HOME","UK fee rate","Ordinary Sciences",6,3,"PHYS08036","Mathematics for Physics 2","957f6740"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",3,2,"PHYS08035","Mathematics for Physics 1","7d6caca6"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",3,2,"PHYS08036","Mathematics for Physics 2","7d6caca6"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geophysics",5,4,"PHYS08041","Algebra and Calculus","3de37908"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geophysics",4,4,"PHYS08041","Algebra and Calculus","555b4b4e"
"M","England","United Kingdom","HOME","UK fee rate","Chemistry with a Year Abroad",5,5,"PHYS08016","Physics 1A:  Foundations","4ad7d5ee"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geology",5,4,"PHYS08036","Mathematics for Physics 2","2ec4132c"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geology",5,4,"PHYS08041","Algebra and Calculus","2ec4132c"
"F","Scotland","United Kingdom","HOME","UK fee rate","Physics",4,2,"PHYS08035","Mathematics for Physics 1","214d276e"
"F","Scotland","United Kingdom","HOME","UK fee rate","Physics",4,2,"PHYS08036","Mathematics for Physics 2","214d276e"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",3,3,"PHYS08041","Algebra and Calculus","71162883"
"M","Scotland","United Kingdom","HOME","UK fee rate","Electronics and Electrical Engineering",5,4,"PHYS08041","Algebra and Calculus","3b89e003"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",5,4,"PHYS08036","Mathematics for Physics 2","d554db78"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",5,4,"PHYS08041","Algebra and Calculus","d554db78"
"M","Scotland","United Kingdom","HOME","UK fee rate","Computer Science and Physics",5,3,"PHYS08041","Algebra and Calculus","5e4b11f8"
"M","England","United Kingdom","HOME","UK fee rate","Physics",5,4,"PHYS08035","Mathematics for Physics 1","4df1c29e"
"M","England","United Kingdom","HOME","UK fee rate","Physics",5,4,"PHYS08036","Mathematics for Physics 2","4df1c29e"
"M","Scotland","United Kingdom","HOME","UK fee rate","Theoretical Physics",3,3,"PHYS08036","Mathematics for Physics 2","ec9859a"
"M","Scotland","United Kingdom","HOME","UK fee rate","Theoretical Physics",3,3,"PHYS08041","Algebra and Calculus","ec9859a"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematical Physics",5,5,"PHYS08016","Physics 1A:  Foundations","e8f30967"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematical Physics",5,5,"PHYS08035","Mathematics for Physics 1","e8f30967"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematical Physics",5,5,"PHYS08036","Mathematics for Physics 2","e8f30967"
"M","Scotland","United Kingdom","HOME","UK fee rate","Theoretical Physics",4,3,"PHYS08016","Physics 1A:  Foundations","95899fa5"
"M","Scotland","United Kingdom","HOME","UK fee rate","Theoretical Physics",4,3,"PHYS08035","Mathematics for Physics 1","95899fa5"
"M","Scotland","United Kingdom","HOME","UK fee rate","Theoretical Physics",4,3,"PHYS08036","Mathematics for Physics 2","95899fa5"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",5,5,"PHYS08016","Physics 1A:  Foundations","5af189ee"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",5,5,"PHYS08035","Mathematics for Physics 1","5af189ee"
"M","Scotland","United Kingdom","HOME","UK fee rate","Astrophysics",5,5,"PHYS08036","Mathematics for Physics 2","5af189ee"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Music Technology",4,4,"SCEE08009","Engineering Mathematics 2A","bf68ba22"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,2,"PHYS08016","Physics 1A:  Foundations","8f2e175"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",2,2,"PHYS08036","Mathematics for Physics 2","dc5580be"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",2,2,"PHYS08041","Algebra and Calculus","dc5580be"
"M","Scotland","United Kingdom","HOME","UK fee rate","Chemistry with Materials Chemistry with a Year Abroad",3,3,"PHYS08016","Physics 1A:  Foundations","8119ce3b"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"PHYS08016","Physics 1A:  Foundations","768e7053"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"PHYS08035","Mathematics for Physics 1","768e7053"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Ordinary Sciences",5,3,"PHYS08036","Mathematics for Physics 2","768e7053"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",4,4,"PHYS08036","Mathematics for Physics 2","6a016503"
"M","Scotland","United Kingdom","HOME","UK fee rate","Physics",4,4,"PHYS08041","Algebra and Calculus","6a016503"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08016","Physics 1A:  Foundations","e12f9479"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08035","Mathematics for Physics 1","e12f9479"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08036","Mathematics for Physics 2","e12f9479"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geophysics",2,1,"PHYS08016","Physics 1A:  Foundations","523b241"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geophysics",2,1,"PHYS08035","Mathematics for Physics 1","523b241"
"M","Scotland","United Kingdom","HOME","UK fee rate","Geophysics",2,1,"PHYS08036","Mathematics for Physics 2","523b241"
"M","Scotland","United Kingdom","HOME","UK fee rate","Computer Science",5,4,"PHYS08041","Algebra and Calculus","5f3419ad"
"M","Pakistan","Pakistan","OVERSEAS","Overseas/International fee rate","Chemical Engineering with Management",4,4,"SCEE08009","Engineering Mathematics 2A","4074e05a"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Civil Engineering",5,5,"PHYS08016","Physics 1A:  Foundations","9527a0c9"
"F","Scotland","United Kingdom","HOME","UK fee rate","Chemical Physics with a Year Abroad",1,1,"PHYS08016","Physics 1A:  Foundations","7928277b"
"F","Scotland","United Kingdom","HOME","UK fee rate","Chemical Physics with a Year Abroad",1,1,"PHYS08035","Mathematics for Physics 1","7928277b"
"F","Scotland","United Kingdom","HOME","UK fee rate","Chemical Physics with a Year Abroad",1,1,"PHYS08036","Mathematics for Physics 2","7928277b"
"M","Lithuania","Lithuania","SEU","EU/EEA fee rate","Chemistry with a Year Abroad",5,5,"PHYS08016","Physics 1A:  Foundations","372e810f"
"F","Scotland","Italy (includes Sardinia, Sicily)","SEU","Scotland fee rate","Geophysics",2,2,"PHYS08016","Physics 1A:  Foundations","695f869f"
"F","Scotland","Italy (includes Sardinia, Sicily)","SEU","Scotland fee rate","Geophysics",2,2,"PHYS08035","Mathematics for Physics 1","695f869f"
"F","Scotland","Italy (includes Sardinia, Sicily)","SEU","Scotland fee rate","Geophysics",2,2,"PHYS08036","Mathematics for Physics 2","695f869f"
"M","Hungary","Hungary","SEU","EU/EEA fee rate","Astrophysics",2,2,"PHYS08016","Physics 1A:  Foundations","c1d6640f"
"M","Hungary","Hungary","SEU","EU/EEA fee rate","Astrophysics",2,2,"PHYS08035","Mathematics for Physics 1","c1d6640f"
"M","Hungary","Hungary","SEU","EU/EEA fee rate","Astrophysics",2,2,"PHYS08036","Mathematics for Physics 2","c1d6640f"
"F","United States of America","Vietnam [Viet Nam]","OVERSEAS","Overseas/International fee rate","Biological Sciences",3,3,"PHYS08016","Physics 1A:  Foundations","f4dcc564"
"M","Norway","Norway","OVERSEAS","Overseas/International fee rate","Physics",4,2,"PHYS08036","Mathematics for Physics 2","e2186604"
"M","Norway","Norway","OVERSEAS","Overseas/International fee rate","Physics",4,2,"PHYS08041","Algebra and Calculus","e2186604"
"M","Lithuania","Lithuania","SEU","EU/EEA fee rate","Artificial Intelligence",3,3,"PHYS08016","Physics 1A:  Foundations","6bdf46b7"
"M","China","China","OVERSEAS","Overseas/International fee rate","Civil Engineering",2,2,"PHYS08016","Physics 1A:  Foundations","3d96ae5c"
"M","United States of America","United States","OVERSEAS","Overseas/International fee rate","Physics",5,5,"PHYS08041","Algebra and Calculus","135234aa"
"M","China","China","OVERSEAS","Overseas/International fee rate","Applied Mathematics",4,4,"PHYS08016","Physics 1A:  Foundations","7b27078"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematical Physics",3,2,"PHYS08016","Physics 1A:  Foundations","e0ccba13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematical Physics",3,2,"PHYS08035","Mathematics for Physics 1","e0ccba13"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematical Physics",3,2,"PHYS08036","Mathematics for Physics 2","e0ccba13"
"M","Germany","Greece","SEU","EU/EEA fee rate","Astrophysics",5,5,"PHYS08016","Physics 1A:  Foundations","16f83844"
"M","Germany","Greece","SEU","EU/EEA fee rate","Astrophysics",5,5,"PHYS08035","Mathematics for Physics 1","16f83844"
"M","Germany","Greece","SEU","EU/EEA fee rate","Astrophysics",5,5,"PHYS08036","Mathematics for Physics 2","16f83844"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"PHYS08016","Physics 1A:  Foundations","c522e5e1"
"M","Cyprus (European Union)","Cyprus (European Union)","SEU","EU/EEA fee rate","Electrical Engineering with Renewable Energy",5,5,"PHYS08016","Physics 1A:  Foundations","fcd3713b"
"M","Lithuania","Lithuania","SEU","EU/EEA fee rate","Software Engineering",4,3,"PHYS08016","Physics 1A:  Foundations","d8819b25"
"F","Saudi Arabia","Pakistan","OVERSEAS","Overseas/International fee rate","Electronics and Electrical Engineering",4,4,"PHYS08016","Physics 1A:  Foundations","f74ee203"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Chemistry with a Year Abroad",1,1,"PHYS08016","Physics 1A:  Foundations","834707f0"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Physics",3,2,"PHYS08016","Physics 1A:  Foundations","f8175d"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",5,4,"PHYS08016","Physics 1A:  Foundations","9330a614"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics",4,3,"PHYS08016","Physics 1A:  Foundations","d8c5b9e8"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics",4,3,"PHYS08035","Mathematics for Physics 1","d8c5b9e8"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics",4,3,"PHYS08036","Mathematics for Physics 2","d8c5b9e8"
"F","England","United Kingdom","SEU","EU/EEA fee rate","Physics",4,5,"PHYS08041","Algebra and Calculus","2312f7"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mechanical Engineering",5,5,"PHYS08016","Physics 1A:  Foundations","7e351335"
"M","Scotland","Sweden","SEU","EU/EEA fee rate","Theoretical Physics",3,4,"PHYS08041","Algebra and Calculus","6f81eb2"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,3,"PHYS08016","Physics 1A:  Foundations","3d6248c1"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,3,"PHYS08035","Mathematics for Physics 1","3d6248c1"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,3,"PHYS08036","Mathematics for Physics 2","3d6248c1"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematical Physics",5,4,"PHYS08016","Physics 1A:  Foundations","ada97278"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematical Physics",5,4,"PHYS08036","Mathematics for Physics 2","ada97278"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08016","Physics 1A:  Foundations","8f58ea2e"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08035","Mathematics for Physics 1","8f58ea2e"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08036","Mathematics for Physics 2","8f58ea2e"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",5,5,"PHYS08016","Physics 1A:  Foundations","e65c6d84"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",5,5,"PHYS08035","Mathematics for Physics 1","e65c6d84"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",5,5,"PHYS08036","Mathematics for Physics 2","e65c6d84"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mechanical Engineering",5,5,"SCEE08009","Engineering Mathematics 2A","9a98d08f"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08016","Physics 1A:  Foundations","575b867e"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08035","Mathematics for Physics 1","575b867e"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,4,"PHYS08036","Mathematics for Physics 2","575b867e"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Computer Science",4,4,"PHYS08016","Physics 1A:  Foundations","e5612491"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Biological Sciences (Evolutionary Biology)",4,4,"PHYS08016","Physics 1A:  Foundations","9b6047ae"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Biological Sciences (Evolutionary Biology)",4,4,"PHYS08035","Mathematics for Physics 1","9b6047ae"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Biological Sciences (Evolutionary Biology)",4,4,"PHYS08036","Mathematics for Physics 2","9b6047ae"
"M","Scotland","Germany","SEU","Scotland fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08016","Physics 1A:  Foundations","948c1a17"
"M","Scotland","Germany","SEU","Scotland fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08035","Mathematics for Physics 1","948c1a17"
"M","Scotland","Germany","SEU","Scotland fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08036","Mathematics for Physics 2","948c1a17"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",4,5,"PHYS08041","Algebra and Calculus","171aaaa2"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",4,5,"PHYS08041","Algebra and Calculus","3ca41d05"
"M","Germany","Germany","SEU","EU/EEA fee rate","Computational Physics",5,5,"PHYS08016","Physics 1A:  Foundations","5b519778"
"M","Germany","Germany","SEU","EU/EEA fee rate","Computational Physics",5,5,"PHYS08035","Mathematics for Physics 1","5b519778"
"M","Germany","Germany","SEU","EU/EEA fee rate","Computational Physics",5,5,"PHYS08036","Mathematics for Physics 2","5b519778"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Civil Engineering",5,5,"PHYS08016","Physics 1A:  Foundations","fb59e4f3"
"F","Lithuania","Lithuania","SEU","EU/EEA fee rate","Mathematics",4,3,"PHYS08016","Physics 1A:  Foundations","e08d14ca"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Physics",2,2,"PHYS08016","Physics 1A:  Foundations","53d871e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Physics",2,2,"PHYS08035","Mathematics for Physics 1","53d871e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Physics",2,2,"PHYS08036","Mathematics for Physics 2","53d871e"
"F","Italy","Germany","SEU","EU/EEA fee rate","Mathematics",4,4,"PHYS08016","Physics 1A:  Foundations","a015a399"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,2,"PHYS08016","Physics 1A:  Foundations","dd440b66"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,2,"PHYS08035","Mathematics for Physics 1","dd440b66"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,2,"PHYS08036","Mathematics for Physics 2","dd440b66"
"M","Malaysia","Malaysia","OVERSEAS","Overseas/International fee rate","Chemical Physics with Industrial Experience",3,4,"PHYS08041","Algebra and Calculus","d6d9985e"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08016","Physics 1A:  Foundations","87178247"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08035","Mathematics for Physics 1","87178247"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08036","Mathematics for Physics 2","87178247"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Civil Engineering",4,4,"PHYS08016","Physics 1A:  Foundations","c893533a"
"M","Netherlands","Netherlands","SEU","EU/EEA fee rate","Theoretical Physics",5,5,"PHYS08016","Physics 1A:  Foundations","642f5de6"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Civil Engineering",6,5,"PHYS08016","Physics 1A:  Foundations","d5c2884c"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,3,"PHYS08016","Physics 1A:  Foundations","ea53f096"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics",4,3,"PHYS08036","Mathematics for Physics 2","ea53f096"
"F","United States of America","United States","OVERSEAS","Overseas/International fee rate","Arts, Humanities and Social Science",5,3,"PHYS08016","Physics 1A:  Foundations","76333eab"
"F","United States of America","United States","OVERSEAS","Overseas/International fee rate","Arts, Humanities and Social Science",5,3,"PHYS08035","Mathematics for Physics 1","76333eab"
"F","United States of America","United States","OVERSEAS","Overseas/International fee rate","Arts, Humanities and Social Science",5,3,"PHYS08036","Mathematics for Physics 2","76333eab"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",5,5,"PHYS08016","Physics 1A:  Foundations","c1726056"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",5,5,"PHYS08035","Mathematics for Physics 1","c1726056"
"F","Scotland","United Kingdom","SEU","Scotland fee rate","Geophysics and Meteorology",5,5,"PHYS08036","Mathematics for Physics 2","c1726056"
"M","England","Poland","SEU","EU/EEA fee rate","Computer Science",4,4,"PHYS08016","Physics 1A:  Foundations","d5769116"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Physics",4,3,"PHYS08016","Physics 1A:  Foundations","3447f7d4"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Mathematics and Physics",4,3,"PHYS08036","Mathematics for Physics 2","3447f7d4"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Civil Engineering",5,5,"PHYS08016","Physics 1A:  Foundations","3e66d100"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Civil Engineering",5,5,"PHYS08035","Mathematics for Physics 1","3e66d100"
"F","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Civil Engineering",5,5,"PHYS08036","Mathematics for Physics 2","3e66d100"
"M","Netherlands","Netherlands","SEU","EU/EEA fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08016","Physics 1A:  Foundations","960af4df"
"M","Netherlands","Netherlands","SEU","EU/EEA fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08035","Mathematics for Physics 1","960af4df"
"M","Netherlands","Netherlands","SEU","EU/EEA fee rate","Chemical Physics with Industrial Experience",5,5,"PHYS08036","Mathematics for Physics 2","960af4df"
"F","Northern Ireland","United Kingdom","SEU","EU/EEA fee rate","Mathematics",2,2,"PHYS08016","Physics 1A:  Foundations","b4d2cc91"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,3,"PHYS08016","Physics 1A:  Foundations","913c9363"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,3,"PHYS08035","Mathematics for Physics 1","913c9363"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Physics",3,3,"PHYS08036","Mathematics for Physics 2","913c9363"
"N","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Theoretical Physics",5,5,"PHYS08016","Physics 1A:  Foundations","484c62ee"
"N","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Theoretical Physics",5,5,"PHYS08035","Mathematics for Physics 1","484c62ee"
"N","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Theoretical Physics",5,5,"PHYS08036","Mathematics for Physics 2","484c62ee"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Mathematics",5,5,"PHYS08016","Physics 1A:  Foundations","e91588e8"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Theoretical Physics",6,5,"PHYS08016","Physics 1A:  Foundations","dfef7ba"
"M","England","United Kingdom","RUK","England/Wales/N Ireland fee rate","Structural and Fire Safety Engineering",5,5,"PHYS08016","Physics 1A:  Foundations","d074c24a"
"M","Saudi Arabia","India","OVERSEAS","Overseas/International fee rate","Mechanical Engineering",4,3,"SCEE08009","Engineering Mathematics 2A","3b5a40b9"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",5,5,"PHYS08016","Physics 1A:  Foundations","f5a45f5d"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",5,5,"PHYS08035","Mathematics for Physics 1","f5a45f5d"
"M","Scotland","United Kingdom","SEU","Scotland fee rate","Astrophysics",5,5,"PHYS08036","Mathematics for Physics 2","f5a45f5d"
