"Q1","Q2","Q3","Q4","Q5","Q6","Q7","Q8","Q9","Q10","Q11","Q12","Q13","Q14","Q15","Q16","Q17","Q18","Q19","Q20","Total","AnonID"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"6ca3c99b"
5,5,5,5,0,5,0,5,5,0,5,1,5,5,5,5,5,5,0,0,71,"36182eac"
5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,0,0,87,"e45e5cff"
5,5,5,2,5,5,5,5,5,0,5,5,5,2,5,5,5,5,5,0,84,"115154cf"
5,5,5,5,5,0,0,0,5,5,5,0,2,0,5,0,5,0,0,0,52,"517cc617"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"73051bdb"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"14bf1723"
2.5,5,0,3.5,5,0,5,5,0,0,2.5,0,0,0,5,5,5,0,0,0,43.5,"44e3693"
2.5,5,5,5,5,2,5,5,5,5,5,1,5,1,5,5,5,5,0,0,76.5,"38d7e19e"
5,5,5,5,5,5,5,5,5,5,5,5,2,5,5,5,5,5,5,5,97,"d777ccfa"
5,0,5,4,5,0,0,5,5,5,1.25,5,5,2,5,5,5,5,0,0,67.25,"a80ed85c"
5,5,5,5,5,2,5,0,5,0,5,5,5,5,5,5,5,5,5,5,87,"a0b98d1e"
5,0,5,5,5,2,5,0,5,5,5,5,5,2,5,5,5,5,5,5,84,"8fd5e262"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"83f3df68"
2.5,0,0,0,0,0,0,5,0,2.5,5,0,0,0,0,0,0,0,0,0,15,"f466960c"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,0,0,5,90,"aaa3ab37"
5,0,0,0,0,0,5,0,0,5,2.5,0,5,0,1.25,0,0,0,0,5,28.75,"d41a44da"
5,5,5,3.5,5,0,5,5,5,5,5,5,2,2,2.5,5,5,5,5,0,80,"77564658"
5,5,5,2,0,0,5,0,5,0,5,0,0,0,0,5,5,0,0,5,47,"9cea13a4"
0,5,5,3.5,0,0,5,5,5,2.5,5,5,5,2,2.5,0,5,5,5,0,65.5,"5e93395a"
5,2.5,5,4,5,2,0,0,5,5,0,5,5,2,5,5,5,5,5,0,70.5,"95fb489"
5,5,5,2.5,5,2,0,5,5,5,1.25,5,0,2,2.5,5,5,5,5,0,70.25,"442cee6"
5,2.5,5,3,0,0,5,0,5,0,5,1,0,0,1.25,5,5,5,0,0,47.75,"992ca17c"
2.5,0,5,3.5,5,0,0,5,5,5,5,0,5,2,0,0,5,5,0,0,53,"1a7d7148"
5,5,5,2,5,0,5,5,5,5,3.75,5,2,5,0,5,5,5,0,0,72.75,"3a234a5c"
0,2.5,0,4,0,0,0,5,5,2.5,5,5,5,2,5,5,5,5,5,0,61,"62c04a72"
5,5,5,5,5,2,5,0,5,5,2.5,5,5,0,2.5,5,5,5,5,0,77,"ce37bc8d"
5,5,5,3.5,5,0,5,0,5,5,5,1,5,2,5,5,5,5,5,0,76.5,"3a07431d"
0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,"695a26e9"
5,5,5,3.5,5,0,0,0,0,2.5,1.25,5,0,2,2.5,5,5,0,0,0,46.75,"858cd746"
5,5,0,1,5,5,5,5,0,5,3.75,0,5,1,2.5,5,5,0,0,0,58.25,"1bac4671"
2.5,5,0,1,5,0,5,0,5,0,5,4,5,2,5,5,5,5,0,0,59.5,"32096a6"
5,5,5,5,5,2,5,5,5,5,5,0,5,5,5,5,5,5,5,5,92,"969761cd"
5,5,0,3,5,2,5,5,5,2.5,5,5,5,2,2.5,5,5,5,0,0,72,"f243c78e"
5,5,0,1,5,5,5,5,5,0,2.5,5,5,5,2.5,5,5,0,0,5,71,"1f165e08"
2.5,5,5,2,5,0,5,5,5,5,5,0,0,0,0,5,5,5,0,0,59.5,"7f66f6ae"
5,5,5,5,5,2,5,5,5,5,5,5,5,5,5,5,5,5,5,5,97,"10dec493"
5,5,5,4,5,5,5,5,5,2.5,5,5,5,5,5,5,5,5,5,5,96.5,"5eac8962"
5,5,5,5,0,0,5,5,5,5,5,5,5,5,5,5,5,0,0,5,80,"3fdaeb22"
5,5,0,4.5,5,2,5,0,5,5,5,5,2,0,0,5,5,5,5,0,68.5,"135e2ede"
0,2.5,0,1,5,0,2.5,0,5,0,2.5,0,3,0,0,0,0,0,0,0,21.5,"12cac998"
2.5,5,5,3.5,5,0,0,5,0,0,5,5,5,2,0,0,5,5,5,0,58,"29e05b89"
5,2.5,0,5,5,2,5,0,5,0,5,5,5,5,0,5,5,0,5,5,69.5,"17463fdd"
5,5,0,5,5,0,5,0,5,5,5,5,0,0,5,5,0,0,5,0,60,"7bf5cea0"
5,0,5,5,5,0,0,0,5,5,5,5,5,5,5,5,5,5,5,0,75,"492dbde5"
2.5,5,5,2,5,0,5,5,5,5,5,5,5,0,5,5,5,5,0,5,79.5,"890991eb"
5,5,0,4,0,0,5,0,0,2.5,5,0,5,2,5,5,5,0,0,0,48.5,"3847521b"
5,5,5,4,5,0,0,5,5,5,1.25,5,2,2,5,5,5,5,0,0,69.25,"fd672058"
5,5,0,3,5,0,5,5,5,0,2.5,5,5,2,3.75,5,5,5,0,5,71.25,"d141ecde"
5,5,5,3,5,0,0,0,5,2.5,5,0,0,0,1.25,0,0,0,0,0,36.75,"47a46da1"
5,5,0,4,5,0,0,5,5,5,1.25,5,5,2,5,5,5,5,5,0,72.25,"f621cc0a"
2.5,0,5,2,5,0,5,0,5,5,5,0,2,2,2.5,5,5,0,5,5,61,"e2098614"
5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,95,"ca24643b"
5,5,5,3.5,5,0,2.5,0,5,0,5,5,5,0,2.5,5,5,5,0,5,68.5,"3de8bf2e"
5,0,5,5,0,0,5,0,5,5,2.5,5,5,2,0,5,5,0,0,0,54.5,"13066938"
5,5,5,3,5,2,5,5,5,2.5,2.5,5,2,2,5,5,5,5,5,0,79,"8496b6e8"
5,0,0,1,5,0,0,0,5,2.5,5,0,0,0,0,5,0,0,0,0,28.5,"288e9fae"
5,5,5,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,99,"853fdc2d"
0,0,0,1,0,0,0,0,5,0,5,0,0,0,0,5,0,0,0,0,16,"eae81f72"
5,5,5,2,5,0,0,5,5,0,2.5,1,5,2,0,5,5,5,0,0,57.5,"6a8228dc"
2.5,0,0,0,0,0,0,0,0,0,2.5,0,0,0,0,0,0,0,0,0,5,"e98b9cff"
0,5,0,1.5,5,2,5,0,5,2.5,5,0,0,0,0,5,5,5,0,0,46,"89a2a2fc"
5,5,5,5,5,0,5,5,5,2.5,5,5,5,5,5,5,5,5,5,0,87.5,"f89b8d5d"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,1.25,5,5,5,0,5,91.25,"8a7555d6"
5,5,0,5,5,2,5,5,5,2.5,5,4,5,5,2.5,5,5,0,5,5,81,"a62d6a23"
5,5,5,2.5,5,2,5,0,0,2.5,5,5,5,0,0,5,5,5,0,0,62,"ad81af1c"
2.5,5,5,3.5,0,0,5,0,5,5,2.5,5,5,2,2.5,5,5,5,0,5,68,"fc228373"
5,5,5,3.5,5,2,0,5,5,2.5,2.5,5,2,2,5,5,5,5,0,0,69.5,"8e99818b"
2.5,5,0,2,0,0,0,0,5,5,5,0,0,0,0,5,5,0,0,0,34.5,"b59c3efc"
5,5,5,4,5,2,5,5,5,2.5,5,5,5,5,5,5,5,5,0,5,88.5,"ec44144a"
5,5,5,3.5,5,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,92.5,"1ac4e2ba"
5,5,0,5,5,0,5,0,5,5,5,5,5,2,5,5,5,0,5,0,72,"a9bac892"
2.5,5,5,4,0,0,0,0,5,5,5,1,5,2,1.25,5,5,0,0,0,50.75,"aaf00695"
0,0,0,2,0,0,2.5,0,0,2.5,1.25,0,0,0,2.5,0,0,0,0,0,10.75,"9ea5162f"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"111ef1bb"
5,5,5,5,5,5,5,5,5,5,2.5,5,5,5,5,5,5,5,5,5,97.5,"b557686b"
2.5,5,5,3.5,5,2,0,5,5,5,5,4,2,1,2.5,5,5,5,5,0,72.5,"2e4002ce"
5,5,5,5,5,0,5,5,5,5,5,0,0,0,5,0,5,0,0,0,60,"4d330269"
5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,95,"e5870087"
5,0,0,4,5,0,0,5,5,5,5,5,2,2,0,5,5,5,5,0,63,"fad6fb61"
5,5,0,5,5,0,5,5,5,5,5,1,5,5,5,5,5,5,0,5,81,"cde509d0"
5,5,5,5,0,0,0,0,5,5,5,1,0,2,5,5,5,5,0,5,63,"804d9a3d"
5,5,0,1,0,0,0,5,5,0,2.5,0,0,0,5,5,5,5,0,0,43.5,"c5fe9026"
5,5,0,5,5,5,5,5,5,5,5,0,2,1,5,5,5,0,0,0,68,"a55dd604"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"68d0575c"
5,2.5,0,4,5,0,5,5,0,2.5,5,5,5,2,2.5,5,5,0,0,5,63.5,"be8b767b"
2.5,5,5,2,0,0,5,5,5,0,5,5,5,3,5,5,5,0,0,0,62.5,"58991e5"
5,5,5,5,5,0,5,0,5,2.5,5,5,5,1,5,5,5,5,0,0,73.5,"8f73dbb2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"6176099b"
5,5,5,5,5,0,5,0,5,5,5,5,5,0,5,5,5,5,0,5,80,"3591fe8c"
2.5,5,0,3,5,0,5,5,5,5,2.5,5,5,0,0,5,5,0,0,0,58,"7bf867f9"
5,5,0,3,5,2,5,0,5,2.5,5,0,2,2,5,5,5,0,5,0,61.5,"fd390752"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"a191982c"
5,5,5,4.5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,5,94.5,"42955541"
5,5,5,5,5,2,5,0,5,5,5,0,5,5,5,5,5,5,5,5,87,"f0f60cf6"
2.5,5,5,5,5,0,5,0,5,5,5,0,5,5,5,5,5,0,5,5,77.5,"a98cb868"
5,0,5,0,5,0,5,5,5,2.5,5,5,5,2,5,5,5,5,5,5,79.5,"277a7a04"
5,5,5,5,5,5,5,5,5,2.5,5,5,0,2,2.5,5,0,5,0,5,77,"70b19f26"
5,0,0,2,5,0,5,5,0,2.5,5,1,5,0,0,5,5,5,0,0,50.5,"76f042d0"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"36336a51"
5,5,5,5,5,2,5,0,5,2.5,5,5,5,5,5,5,5,5,5,5,89.5,"8cd5ede"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"daca70b"
5,5,5,3.5,0,0,5,0,5,2.5,5,5,5,2,5,5,5,5,5,0,73,"d32893a3"
5,5,5,4,0,2,5,5,5,2.5,5,5,2,2,0,5,5,5,0,0,67.5,"9e38383f"
5,5,5,5,5,0,0,0,5,2.5,1.25,5,5,2,5,5,0,5,5,0,65.75,"21ac9114"
5,5,5,5,5,0,0,5,5,5,5,5,5,2,5,5,5,5,0,0,77,"1fda395f"
5,5,0,3.5,5,5,0,5,5,2.5,5,5,5,2,2.5,5,5,5,0,0,70.5,"17235626"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"7018eb4a"
2.5,5,5,4,5,0,5,5,5,5,5,5,2,1,2.5,5,5,5,5,5,82,"2cd9e5ba"
5,5,0,4,5,2,0,5,5,5,2.5,5,5,1,5,5,5,5,0,0,69.5,"1ed8c313"
5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,100,"3d46002d"
5,5,0,2.5,5,2,5,0,5,5,5,5,5,2,5,5,5,5,0,0,71.5,"f30b4d93"
5,2.5,5,5,5,5,5,0,5,5,2.5,5,5,5,5,5,5,5,5,5,90,"82cd5a15"
5,5,5,5,5,2,5,5,5,5,5,5,5,5,3.75,5,5,5,5,5,95.75,"8219cb5d"
5,5,5,5,5,2,5,5,5,5,5,5,5,5,0,5,5,0,5,5,87,"6ca3fd57"
2.5,5,5,5,5,2,0,5,5,2.5,5,5,2,5,5,5,5,5,5,5,84,"7ff49502"
5,2.5,5,4.5,5,0,5,5,5,0,5,1,5,5,2.5,5,5,5,0,0,70.5,"9e6e918"
0,5,0,0,0,0,0,5,0,0,2.5,1,0,0,0,0,5,5,0,0,23.5,"f88b1003"
5,0,0,2.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,7.5,"3fa15a26"
5,5,5,5,5,2,5,5,5,5,2.5,5,5,5,5,5,5,5,5,5,94.5,"c24d0c64"
5,5,5,4,5,2,5,5,0,5,2.5,5,2,2,5,5,5,5,5,5,82.5,"657ecbca"
5,5,0,4.5,5,0,0,0,0,2.5,5,0,5,2,1.25,5,5,0,0,0,45.25,"9f407f1"
5,5,5,4,0,5,2.5,5,5,0,5,0,5,5,0,5,5,5,0,0,66.5,"5d2190a"
5,5,5,4,5,5,2.5,5,5,5,2.5,5,5,2,5,5,5,5,5,0,86,"e6ec2628"
5,5,5,5,5,2,5,5,5,5,5,5,5,2,3.75,5,5,5,5,0,87.75,"838c7d37"
5,5,0,5,5,2,5,5,5,2.5,5,5,5,2,5,5,5,0,0,0,71.5,"30729456"
5,5,5,5,5,5,5,5,5,2.5,5,4,5,5,0,5,5,5,5,0,86.5,"74eb5b56"
0,5,5,5,5,2,5,0,5,0,5,5,0,0,2.5,5,5,0,5,0,59.5,"46fdd161"
5,5,0,0,0,0,0,5,5,0,5,5,5,2,1.25,5,5,0,0,0,48.25,"6cb1697e"
2.5,0,0,3,0,0,5,5,5,0,2.5,5,2,2,5,5,5,0,0,0,47,"b34805c5"
2.5,2.5,5,0,5,0,5,5,5,2.5,5,5,2,2,2.5,5,5,5,0,0,64,"940b8ac2"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"47e59a49"
5,5,5,4,5,0,0,5,5,0,5,5,0,5,2.5,5,5,5,5,0,71.5,"a41a8e0"
5,5,0,3,5,0,0,5,5,5,5,1,5,2,5,5,5,5,0,0,66,"9ae3b774"
0,5,0,4,5,0,0,5,5,0,5,1,2,2,1.25,5,5,5,0,5,55.25,"7dc955ec"
5,0,5,0,0,0,0,0,0,5,0,0,0,0,1.25,0,0,0,0,0,16.25,"94b2baae"
5,5,5,5,5,2,0,5,5,2.5,5,5,2,5,2.5,5,5,5,0,5,79,"fde590a6"
5,5,5,3,5,2,5,5,5,2.5,5,5,2,2,5,5,5,0,0,0,71.5,"a8e1ea77"
5,5,5,4,5,2,5,0,0,2.5,5,5,5,5,5,5,5,5,5,0,78.5,"b20b72a1"
5,5,5,5,5,0,5,5,5,5,2.5,5,5,3,5,5,5,5,0,0,80.5,"dadb4e26"
5,5,0,5,5,2,5,5,5,5,2.5,5,5,5,0,5,5,5,0,5,79.5,"9298925c"
5,5,5,3.5,5,0,5,5,5,0,5,1,2,1,5,5,5,5,0,0,67.5,"3247f19a"
5,5,0,4,0,0,0,5,5,0,5,0,0,0,1.25,5,5,0,0,0,40.25,"3a8f86e8"
5,5,5,3,5,2,2.5,5,5,0,0,5,5,2,2.5,5,5,5,5,5,77,"8cd9de81"
5,5,0,0,0,2,5,0,0,2.5,2.5,5,5,0,0,5,5,5,0,5,52,"27fde570"
5,5,0,1,0,0,0,0,5,0,5,5,2,2,0,5,5,0,0,0,40,"34149bb4"
5,5,5,5,5,0,5,0,5,2.5,2.5,5,5,4,5,5,5,5,0,5,79,"73271f8b"
2.5,5,5,5,5,2,5,5,0,5,2.5,5,5,5,3.75,5,0,0,0,0,65.75,"8471152d"
0,5,0,3,5,2,0,0,5,0,0,5,0,0,0,0,0,0,0,0,25,"c6973ca"
5,5,5,4,5,0,5,5,5,5,5,1,0,0,2.5,5,5,5,5,5,77.5,"1e8c23a"
5,5,5,5,5,0,0,5,5,5,5,0,0,0,5,5,5,5,0,5,70,"744d2c8a"
5,5,5,5,5,2,0,5,5,5,5,0,0,0,0,5,5,5,5,0,67,"5527298b"
5,5,0,2,5,0,0,0,0,5,5,5,5,2,5,5,5,5,5,5,69,"6ac45a57"
5,5,5,5,5,5,5,5,5,5,5,5,0,5,5,5,5,5,5,5,95,"be9b327b"
0,5,0,4,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,0,79,"f74c5076"
5,5,0,5,5,2,0,5,5,0,5,5,2,1,5,5,5,5,0,0,65,"ad2cfce7"
2.5,5,0,1,5,5,5,5,5,2.5,0,0,0,0,5,5,5,5,0,0,56,"5d5f3905"
2.5,5,5,1.5,5,0,0,0,5,2.5,2.5,0,5,0,5,0,5,5,5,0,54,"b3c30f39"
2.5,5,0,3.5,0,0,0,0,5,0,2.5,0,0,0,1.25,5,5,0,0,0,29.75,"1fb7987b"
5,5,0,4,5,2,5,0,5,5,1.25,5,2,2,0,5,5,0,0,0,56.25,"82034ef5"
5,5,5,5,0,2,0,5,5,2.5,5,1,5,2,5,5,5,0,5,0,67.5,"ead90779"
5,5,5,2,5,2,0,5,5,2.5,5,5,5,0,5,5,5,5,5,0,76.5,"b10df52a"
5,5,0,1,5,5,2.5,5,5,0,2.5,4,5,2,0,5,5,5,0,0,62,"892f4883"
5,5,5,5,5,5,0,5,5,5,5,5,5,5,5,5,5,5,5,5,95,"57e802db"
5,0,0,5,5,0,0,5,5,0,5,5,2,1,0,5,5,5,0,0,53,"3b5e124f"
5,5,0,5,5,2,5,0,5,2.5,5,5,5,2,5,5,5,5,5,0,76.5,"c1804a2a"
5,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,10,"522c0dd7"
2.5,5,0,2,5,0,0,5,5,0,5,1,2,2,0,5,5,5,0,5,54.5,"443585fd"
5,0,5,4.5,5,0,5,5,5,5,2.5,5,0,1,5,5,5,5,5,0,73,"f878c76c"
5,5,0,4,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,5,94,"c24402c5"
5,5,5,4,5,2,5,0,5,5,5,1,2,2,0,5,5,5,0,0,66,"72a234bf"
5,5,5,5,5,0,5,5,5,5,5,5,5,1,5,5,5,5,0,0,81,"c9586e65"
5,5,5,2.5,5,0,5,5,5,5,5,1,5,5,0,5,5,5,5,5,83.5,"e16220d4"
5,2.5,5,0,5,5,5,5,5,5,2.5,5,5,2,5,5,5,5,5,0,82,"48ad7738"
5,5,5,5,5,2,5,5,5,5,5,5,5,2,3.75,5,5,5,5,0,87.75,"401a6c76"
5,5,5,4,5,3,0,5,5,2.5,2.5,5,5,5,5,5,5,5,5,0,82,"322abd2c"
2.5,5,0,3.5,5,2,0,5,0,0,5,5,5,2,0,5,5,0,5,0,55,"e0acd032"
5,5,5,2.5,5,0,0,0,5,5,5,5,0,0,2.5,5,5,5,0,0,60,"1fd563de"
5,5,5,5,5,2,0,5,0,2.5,5,5,5,5,5,5,5,0,0,0,69.5,"435001ef"
5,5,0,5,5,0,5,0,5,5,2.5,0,2,5,5,0,0,5,5,0,59.5,"89253d88"
2.5,5,5,4,5,5,2.5,0,5,5,1.25,5,5,5,5,5,5,5,0,0,75.25,"de8ec7ea"
5,5,5,3,0,0,5,5,0,2.5,5,5,2,2,1.25,5,5,5,0,0,60.75,"72a9c9c6"
5,5,5,4,5,2,5,0,5,5,5,5,0,4,5,5,5,5,5,0,80,"68191f81"
5,5,5,5,5,2,5,5,5,5,5,5,5,2,5,5,5,5,5,5,94,"44b1f671"
5,5,5,5,5,2,5,5,5,0,0,5,5,2,5,5,5,5,5,0,79,"863f18bb"
5,5,0,4,0,0,0,5,5,0,5,5,5,1,0,5,5,0,5,0,55,"19b36f5d"
5,5,5,5,5,2,5,0,5,5,0,0,5,0,5,5,5,5,5,0,72,"18baff3a"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"fc53d02e"
5,5,5,3.5,5,0,5,0,5,5,5,5,5,4,5,5,5,5,5,5,87.5,"5a1aa70d"
5,5,5,5,5,0,0,5,5,5,5,5,5,2,0,5,5,0,5,0,72,"14c89031"
0,5,0,4,5,2,5,5,0,0,1.25,5,0,0,2.5,0,5,0,0,0,39.75,"dca1278e"
5,5,0,5,5,5,0,5,5,5,5,5,5,2,5,5,5,0,5,5,82,"7bf73d78"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"ca3e2ff0"
5,5,5,5,5,0,0,0,5,5,5,0,5,2,5,5,5,0,0,5,67,"ee3ca745"
5,5,5,4,5,2,5,5,5,5,5,5,5,5,0,5,5,5,5,5,91,"1a504264"
5,5,5,5,5,5,5,5,5,5,2.5,5,5,5,5,5,5,5,5,5,97.5,"42192071"
5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,5,"8f343a2b"
5,5,0,0,5,0,0,0,5,2.5,5,0,0,0,0,5,5,0,0,0,37.5,"fc26248b"
2.5,5,0,0,5,0,5,5,5,0,0,0,5,2,5,0,5,5,0,0,49.5,"aa53b351"
0,5,5,2,5,0,0,5,5,5,5,5,5,2,5,5,5,5,0,5,74,"6a80789a"
5,5,0,3,0,0,5,0,0,5,2.5,0,5,2,5,0,0,0,0,0,37.5,"227b663e"
0,5,5,4,5,2,5,5,5,2.5,1.25,5,5,1,5,5,5,5,0,0,70.75,"a1fac1b"
0,5,5,3,0,0,0,5,5,0,5,0,0,0,0,5,5,5,0,0,43,"264412eb"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"f555e319"
NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"dac43d5a"
5,0,5,4,0,0,5,0,5,5,1.25,5,5,2,0,0,5,5,0,0,52.25,"23bbd379"
5,5,5,2,0,0,5,0,5,2.5,5,5,5,5,5,5,5,5,5,5,79.5,"a6b8f62c"
